Código del organismo;Nombre del organismo;Año informado;Trimestre informado;Requisitos de Afiliación;Procedimientos de afiliación;Link mayor información;Número total de afiliados
PP022;Partido Radical de Chile;2019;Abr-Jun;Para afiliarse al Partido Radical se requiere ser ciudadano con derecho a sufragio o extranjero avecindado en Chile por más de cinco años. Son integrantes del Partido Radical de Chile todas y todos los ciudadanos que estando inscritos en los Registros Electorales, cumplan los requisitos base en conformidad a las normas establecidas en la Ley de Partidos Políticos y en el estatuto del partido.;Para llevar a cabo su afiliación, debe realizar los siguientes pasos: El ciudadano(a) que desee afiliarse al Partido Radical deberá presentar su solicitud, personalmente o por tercera persona militante, patrocinada a lo menos por dos afiliados, en duplicado a la Secretaría Nacional de Organización y Control (Londres #57, Santiago Centro).;https://www.partidoradical.cl/;98.323
PP022;Partido Radical de Chile;2017;Ene - Mar;Para afiliarse al Partido Radical se requiere ser ciudadano con derecho a sufragio o extranjero avecindado en Chile por más de cinco años. Son integrantes del Partido Radical de Chile todas y todos los ciudadanos que estando inscritos en los Registros Electorales, cumplan los requisitos base en conformidad a las normas establecidas en la Ley de Partidos Políticos y en el estatuto del partido.;Para llevar a cabo su afiliación, debe realizar los siguientes pasos: El ciudadano(a) que desee afiliarse al Partido Radical deberá presentar su formulario de afiliación, personalmente o por tercera persona militante, patrocinada a lo menos por dos afiliados, a la Secretaría Nacional de Organización y Control. Esto deberá ser acompañado de una fotocopia de su Cédula de Identidad.;http://www.partidoradical.cl/;83.086
PP022;Partido Radical de Chile;2016;Oct - Dic;Para afiliarse al Partido Radical se requiere ser ciudadano con derecho a sufragio o extranjero avecindado en Chile por más de cinco años. Son integrantes del Partido Radical de Chile todas y todos los ciudadanos que estando inscritos en los Registros Electorales, cumplan los requisitos base en conformidad a las normas establecidas en la Ley de Partidos Políticos y en el estatuto del partido.;Para llevar a cabo su afiliación, debe realizar los siguientes pasos: El ciudadano(a) que desee afiliarse al Partido Radical deberá presentar su formulario de afiliación, personalmente o por tercera persona militante, patrocinada a lo menos por dos afiliados, a la Secretaría Nacional de Organización y Control. Esto deberá ser acompañado de una fotocopia de su Cédula de Identidad.;http://www.partidoradical.cl/;81.999
PP022;Partido Radical de Chile;2018;Ene - Mar;Para afiliarse al Partido Radical se requiere ser ciudadano con derecho a sufragio o extranjero avecindado en Chile por más de cinco años. Son integrantes del Partido Radical de Chile todas y todos los ciudadanos que estando inscritos en los Registros Electorales, cumplan los requisitos base en conformidad a las normas establecidas en la Ley de Partidos Políticos y en el estatuto del partido.;Para llevar a cabo su afiliación, debe realizar los siguientes pasos: El ciudadano(a) que desee afiliarse al Partido Radical deberá presentar su solicitud, personalmente o por tercera persona militante, patrocinada a lo menos por dos afiliados, en duplicado a la Secretaría Nacional de Organización y Control (Londres #57, Santiago Centro).;http://www.partidoradical.cl/;100.182
PP022;Partido Radical de Chile;2019;Ene-Mar;Para afiliarse al Partido Radical se requiere ser ciudadano con derecho a sufragio o extranjero avecindado en Chile por más de cinco años. Son integrantes del Partido Radical de Chile todas y todos los ciudadanos que estando inscritos en los Registros Electorales, cumplan los requisitos base en conformidad a las normas establecidas en la Ley de Partidos Políticos y en el estatuto del partido.;Para llevar a cabo su afiliación, debe realizar los siguientes pasos: El ciudadano(a) que desee afiliarse al Partido Radical deberá presentar su solicitud, personalmente o por tercera persona militante, patrocinada a lo menos por dos afiliados, en duplicado a la Secretaría Nacional de Organización y Control (Londres #57, Santiago Centro).;https://www.partidoradical.cl/;99.370
PP022;Partido Radical de Chile;2017;Abr - Jun;Para afiliarse al Partido Radical se requiere ser ciudadano con derecho a sufragio o extranjero avecindado en Chile por más de cinco años. Son integrantes del Partido Radical de Chile todas y todos los ciudadanos que estando inscritos en los Registros Electorales, cumplan los requisitos base en conformidad a las normas establecidas en la Ley de Partidos Políticos y en el estatuto del partido.;Para llevar a cabo su afiliación, debe realizar los siguientes pasos: El ciudadano(a) que desee afiliarse al Partido Radical deberá presentar su solicitud, personalmente o por tercera persona militante, patrocinada a lo menos por dos afiliados, en duplicado a la Secretaría Nacional de Organización y Control (Londres #57, Santiago Centro).;http://www.partidoradical.cl/;104.123
PP022;Partido Radical de Chile;2017;Jul - Sep;Para afiliarse al Partido Radical se requiere ser ciudadano con derecho a sufragio o extranjero avecindado en Chile por más de cinco años. Son integrantes del Partido Radical de Chile todas y todos los ciudadanos que estando inscritos en los Registros Electorales, cumplan los requisitos base en conformidad a las normas establecidas en la Ley de Partidos Políticos y en el estatuto del partido.;Para llevar a cabo su afiliación, debe realizar los siguientes pasos: El ciudadano(a) que desee afiliarse al Partido Radical deberá presentar su solicitud, personalmente o por tercera persona militante, patrocinada a lo menos por dos afiliados, en duplicado a la Secretaría Nacional de Organización y Control (Londres #57, Santiago Centro).;http://www.partidoradical.cl/;101.080
PP022;Partido Radical de Chile;2017;Oct - Dic;Para afiliarse al Partido Radical se requiere ser ciudadano con derecho a sufragio o extranjero avecindado en Chile por más de cinco años. Son integrantes del Partido Radical de Chile todas y todos los ciudadanos que estando inscritos en los Registros Electorales, cumplan los requisitos base en conformidad a las normas establecidas en la Ley de Partidos Políticos y en el estatuto del partido.;Para llevar a cabo su afiliación, debe realizar los siguientes pasos: El ciudadano(a) que desee afiliarse al Partido Radical deberá presentar su solicitud, personalmente o por tercera persona militante, patrocinada a lo menos por dos afiliados, en duplicado a la Secretaría Nacional de Organización y Control (Londres #57, Santiago Centro).;http://www.partidoradical.cl/;100.467
PP022;Partido Radical de Chile;2018;Abr - Jun;Para afiliarse al Partido Radical se requiere ser ciudadano con derecho a sufragio o extranjero avecindado en Chile por más de cinco años. Son integrantes del Partido Radical de Chile todas y todos los ciudadanos que estando inscritos en los Registros Electorales, cumplan los requisitos base en conformidad a las normas establecidas en la Ley de Partidos Políticos y en el estatuto del partido.;Para llevar a cabo su afiliación, debe realizar los siguientes pasos: El ciudadano(a) que desee afiliarse al Partido Radical deberá presentar su solicitud, personalmente o por tercera persona militante, patrocinada a lo menos por dos afiliados, en duplicado a la Secretaría Nacional de Organización y Control (Londres #57, Santiago Centro).;http://www.partidoradical.cl/;101.022
PP022;Partido Radical de Chile;2018;Jul-Sep;Para afiliarse al Partido Radical se requiere ser ciudadano con derecho a sufragio o extranjero avecindado en Chile por más de cinco años. Son integrantes del Partido Radical de Chile todas y todos los ciudadanos que estando inscritos en los Registros Electorales, cumplan los requisitos base en conformidad a las normas establecidas en la Ley de Partidos Políticos y en el estatuto del partido.;Para llevar a cabo su afiliación, debe realizar los siguientes pasos: El ciudadano(a) que desee afiliarse al Partido Radical deberá presentar su solicitud, personalmente o por tercera persona militante, patrocinada a lo menos por dos afiliados, en duplicado a la Secretaría Nacional de Organización y Control (Londres #57, Santiago Centro).;https://www.partidoradical.cl/;99.075
PP022;Partido Radical de Chile;2018;Oct-Dic;Para afiliarse al Partido Radical se requiere ser ciudadano con derecho a sufragio o extranjero avecindado en Chile por más de cinco años. Son integrantes del Partido Radical de Chile todas y todos los ciudadanos que estando inscritos en los Registros Electorales, cumplan los requisitos base en conformidad a las normas establecidas en la Ley de Partidos Políticos y en el estatuto del partido.;Para llevar a cabo su afiliación, debe realizar los siguientes pasos: El ciudadano(a) que desee afiliarse al Partido Radical deberá presentar su solicitud, personalmente o por tercera persona militante, patrocinada a lo menos por dos afiliados, en duplicado a la Secretaría Nacional de Organización y Control (Londres #57, Santiago Centro).;https://www.partidoradical.cl/;99.370
PP025;Partido Socialista de Chile PS;2019;abr - jun;Son militantes y adherentes del Partido Socialista los mayores de 14 años que adhieren a los principios, programa y proyecto del Partido, que aceptan y se rigen por sus reglamentos y estatutos y que forman parte de sus registros.;La solicitud de ingreso de una persona al Partido deberá formalizarse ante el Presidente del Consejo Seccional donde tenga su domicilio el interesado, previa presentación del postulante por un Núcleo o por un militante que lo avale. La ficha de afiliación puede ser descargada desde https://drive.google.com/open?id=0BzSuZOajSldSaVRjUWM3ZHRzazF3U0xNWjdWb1B4VjFWcmww y de Adherentes (menores de edad) https://drive.google.com/open?id=0BzSuZOajSldSa1IyVzhET0hNbXhtTUV3RWxxMnNYTU55RmNB llenarla con los antecedentes solicitados y firmarla con firma igual a CI, del cual se debe adjuntar fotocopiado por ambas caras. En caso de imposibilidad de entregar dicha documentación en la instancia territorial correspondiente, se podrá hacer llegar directamente a la sede central del Partido, ubicada en París 873, Santiago Centro, Región Metropolitana, donde será canalizada internamente. Para desafiliarse del Partido La renuncia voluntaria se puede presentar tanto ante el Presidente del Partido Político como ante el Director del Servicio Electoral. Más información sobre la desafiliación en https://www.servel.cl/renuncia-a-partido-politico/;https://portal.pschile.cl/unete;129.514
PP026;Partido Unión Demócrata Independiente - UDI;2018;Ene - Mar;Para incorporarse a nuestra coletividad, debe cumplir con los siguientes requisitos: 1. Estar inscrito en los Registros Electorales. 2. No ser militante de ningún otro partido. 3. Tener dos patrocinantes. 4. Debe respetar el codigo de conducta de los militantes.;La persona que desee ingresar a "Unión Demócrata Independiente" deberá presentar una solicitud de afiliación al Consejo Regional o Comunal correspondiente al lugar de su residencia. La solicitud deberá ser patrocinada por dos afiliados que tengan a lo menos dos años de afiliación al partido, quienes acreditarán la identidad de la persona patrocinada.;http://www.udi.cl;103.943
PP026;Partido Unión Demócrata Independiente - UDI;2019;Ene - Mar;Para incorporarse a nuestra coletividad, debe cumplir con los siguientes requisitos: 1. Estar inscrito en los Registros Electorales. 2. No ser militante de ningún otro partido. 3. Tener dos patrocinantes. 4. Debe respetar el codigo de conducta de los militantes.;La persona que desee ingresar a "Unión Demócrata Independiente" deberá presentar una solicitud de afiliación al Consejo Regional o Comunal correspondiente al lugar de su residencia. La solicitud deberá ser patrocinada por dos afiliados que tengan a lo menos dos años de afiliación al partido, quienes acreditarán la identidad de la persona patrocinada.;https://transparencia.udi.cl/estructura-y-organizacion/marco-normativo/requisitos-y-procedimientos-para-afiliarse-y-desafiliarse/;105.295
PP026;Partido Unión Demócrata Independiente - UDI;2018;Abr - Jun;Para incorporarse a nuestra coletividad, debe cumplir con los siguientes requisitos: 1. Estar inscrito en los Registros Electorales. 2. No ser militante de ningún otro partido. 3. Tener dos patrocinantes. 4. Debe respetar el codigo de conducta de los militantes.;La persona que desee ingresar a "Unión Demócrata Independiente" deberá presentar una solicitud de afiliación al Consejo Regional o Comunal correspondiente al lugar de su residencia. La solicitud deberá ser patrocinada por dos afiliados que tengan a lo menos dos años de afiliación al partido, quienes acreditarán la identidad de la persona patrocinada.;http://www.udi.cl;103.943
PP026;Partido Unión Demócrata Independiente - UDI;2019;Abr - Jun;Para incorporarse a nuestra coletividad, debe cumplir con los siguientes requisitos: 1. Estar inscrito en los Registros Electorales. 2. No ser militante de ningún otro partido. 3. Tener dos patrocinantes. 4. Debe respetar el codigo de conducta de los militantes.;La persona que desee ingresar a "Unión Demócrata Independiente" deberá presentar una solicitud de afiliación al Consejo Regional o Comunal correspondiente al lugar de su residencia. La solicitud deberá ser patrocinada por un afiliado que tengan a lo menos dos años de afiliación al partido, quienes acreditarán la identidad de la persona patrocinada.;https://transparencia.udi.cl/estructura-y-organizacion/marco-normativo/requisitos-y-procedimientos-para-afiliarse-y-desafiliarse/;103.392
PP026;Partido Unión Demócrata Independiente - UDI;2018;Jul - Sep;Para incorporarse a nuestra coletividad, debe cumplir con los siguientes requisitos: 1. Estar inscrito en los Registros Electorales. 2. No ser militante de ningún otro partido. 3. Tener dos patrocinantes. 4. Debe respetar el codigo de conducta de los militantes.;La persona que desee ingresar a "Unión Demócrata Independiente" deberá presentar una solicitud de afiliación al Consejo Regional o Comunal correspondiente al lugar de su residencia. La solicitud deberá ser patrocinada por dos afiliados que tengan a lo menos dos años de afiliación al partido, quienes acreditarán la identidad de la persona patrocinada.;http://www.udi.cl;103.943
PP026;Partido Unión Demócrata Independiente - UDI;2018;Oct - Dic;Para incorporarse a nuestra coletividad, debe cumplir con los siguientes requisitos: 1. Estar inscrito en los Registros Electorales. 2. No ser militante de ningún otro partido. 3. Tener dos patrocinantes. 4. Debe respetar el codigo de conducta de los militantes.;La persona que desee ingresar a "Unión Demócrata Independiente" deberá presentar una solicitud de afiliación al Consejo Regional o Comunal correspondiente al lugar de su residencia. La solicitud deberá ser patrocinada por dos afiliados que tengan a lo menos dos años de afiliación al partido, quienes acreditarán la identidad de la persona patrocinada.;https://transparencia.udi.cl/estructura-y-organizacion/marco-normativo/requisitos-y-procedimientos-para-afiliarse-y-desafiliarse/;105.295
PP027;Partido Poder Ciudadano;2019;Abr - Jun;Segun los estatutos del Partido Poder Ciudadano, los unicos requisitos para afiliarse son los legales, es decir: 1. Ser mayor de Edad. 2. Encontrarse habilitado para sufragar. 3. No estar afiliado a algun otro partido politico. 4. Declarar voluntad expresa de afiliacion ante notario publico.;Segun estatutos, el procedimiento para la afiliacion al Partido Poder Ciudadano se limita a la firma de la ficha de afiliacion. "El ingreso debe ser patrocinado por un afiliado al Partido y se hara ante el Presidente y Secretario General de la Directiva Central, este ultimo quien sera responsable del duplicado del Registro de Afiliados y de informar al Servel;http://partidopoder.cl/contacto/;13.904
PP028;Partido Renovación Nacional (RN);2019;Abr - Jun;Para incorporarse a nuestra coletividad, debe cumplir con los siguientes requisitos: (1) Ser mayor de Edad. (2) Encontrarse habilitado para sufragar. (3) No haber sido sancionado o condenado por algún delito. (4) No poseer deudas con el fisco.;Para obtener la ficha de afiliación: (a) Tomar contacto con las directivas locales o sede de RN de su localidad. (b) Bajar la ficha de afiliación desde www.rn.cl (La ficha de afiliación actualmente se compone de dos documentos: La ficha propiamente tal, que es conservada por el Partido, y el formulario de notificación que es presentado ante el Servicio Electoral. Ambos documentos deben ser completados y firmados por el interesado, adjuntando una fotocopia simple del carnet de identidad, como una forma de verificar sus datos. Adicionalmente, la nueva ficha de afiliación deberá ser patrocinada por dos afiliados al Partido y presentada al Consejo Distrital respectivo, el cual, luego de aprobar o rechazar el ingreso, debe remitir el acta de consejo y fichas correspondientes a la Sede Central para su proceso y trámite ante el Servicio Electoral);http://www.rn.cl;113.505
PP029;Partido Revolución Democrática (RD);2019;Abr - Jun;a. Ser ciudadano con derecho a sufragio o extranjero avecindado en Chile por más de cinco años. b. No formar parte del personal de las Fuerzas Armadas y el de Orden y Seguridad Pública, del Tribunal Calificador de Elecciones o del Servicio Electoral. c. No tener alguno de los cargos mencionados a continuación: jueces, secretarios y ministros de fe de los tribunales de justicia los ministros, relatores, secretarios y fiscales de los tribunales superiores de justicia, los fiscales del Ministerio Público y los abogados asistentes de fiscales, el Defensor Nacional y los defensores regionales, el Contralor General de la República ni los contralores regionales, los notarios y los conservadores. d. No estar afiliado a otro partido político.;Para AFILIARTE a Revolución Democrática, existen dos procedimientos, dependiendo de la región en la que votes. Si votas en la RM, puedes firmar en nuestra sede (Francisco Bilbao 299, Providencia, Metro Bustamante) de lunes a viernes entre las 09:00 y 22:00 hrs. Si votas en alguna de las regiones en las que ya somos partido político (Tarapacá, Antofagasta, Atacama, Coquimbo, Valparaíso, O'higgins, Maule, Biobío, Ñuble, Los Ríos, Los Lagos y Aysén), tienes que contactarte con quien coordina tu comuna para ponerte de acuerdo en la firma. En las regiones donde NO somos partido (Arica, Araucanía y Magallanes), tienes que acercarte a las "firmatones" que se están haciendo con notarios o si tienes "CLAVE ÚNICA" del Registro Civil, te puedes afiliar acá: https://www.servel.cl/afiliacion-a-partido-politico-en-formacion-o-tramite-de-extension/ Para DESAFILIARTE del partido (renunciar), si tienes clave única del Registro Civil, puedes hacer el trámite online aquí: http://servel.cl/renuncia-a-partido-politico/ . Si no tienes clave, puedes ir a cualquiera de las Direcciones Regionales del Servicio Electoral (SERVEL) y llenar un formulario o enviar el formulario (disponible en la web) a sus oficinas, por correo tradicional. También puedes ir a cualquiera de las sedes de Revolución Democrática y firmar una carta, donde manifiestes expresamente tu voluntad de renunciar al partido, sin necesidad de expresión de causa.;https://revoluciondemocratica.cl/espacios-de-militancia/;42.199
PP030;Partido Ciudadanos;2019;Abril - Junio;Podrá ser afiliado de Ciudadanos todo ciudadano con derecho a sufragio, que no pertenezca a otro partido político, que no tenga alguna de las inhabilidades establecidas en la ley y que asuma el compromiso de aceptar y respetar la Declaración de Principios del partido y el estatuto.;Para proceder a la afiliación al Partido Ciudadanos, hay que distinguir tres situaciones: <br><br>a) Solicitud de afiliación personal: Esta petición se efectuará en la sede regional respectiva del interesado en afiliarse. En dicha dependencia habrá a disposición de las personas fichas de afiliación para ser completadas y firmadas. <br><br>b) Solicitud de afiliación virtual: Esta petición se efectuará a través de un correo electrónico dirigido a la Directiva Regional o General del Partido, o a través del portal dispuesto para tal efecto en el sitio web de Ciudadanos, indicando su nombre completo, número de cédula de identidad, edad, región electoral y una declaración del interesado en que declare no estar afiliado a otro partido político, que tiene la voluntad de afiliarse a Ciudadanos y que cumple con los requisitos indicados en el artículo precedente, el reglamento de afiliación vigente del Partido, al artículo dieciocho y siguientes de la ley orgánica constitucional de Partidos Políticos. Una vez recepcionada esta solicitud, la Secretaría Regional o General remitirá una ficha de afiliación digital para el debido llenado y firma del interesado. <br><br>En cualquiera de los casos anteriormente consignados, junto con la entrega o envío digital de la ficha de afiliación, la Secretaría Regional o General del Partido indicará al interesado en dónde puede dejar a disposición la ficha completada y firmada por el solicitante para que ésta sea autorizada y firmada por el Presidente o Secretario General del Partido. <br><br>Una vez recibida la solicitud de afiliación completada y firmada por el solicitante, el Partido, deberá presentar la declaración de afiliación al Servicio Electoral para que éste lo inscriba en el Registro General de Afiliados del Partido, momento en que se entiende al solicitante como afiliado al Partido Ciudadanos. <br><br>Los mecanismos de solicitud de afiliación, y de afiliación propiamente tal descritos en los incisos anteriores, se entenderán sin perjuicio de otros procedimientos que el partido, la Ley o el Servicio Electoral comprenda y establezca, en especial aquellos que en base al uso de tecnología simplifique el levantamiento, entrega y recepción de información para la afiliación al partido.<br><br>La desafiliación deberá hacerse por escrito, en papel y con firma, indicando nombre completo, correo electrónico, número de cédula de identidad, partido, y la intención de desafiliarse, adjuntando fotocopia simple de la cédula de identidad. Ella deberá presentarse al presente del partido o a la respectiva Dirección Regional del Servicio Electoral.;http://partidociudadanos.cl;19.830
PP031;Partido Todos;2017;Oct - Dic;Para incorporarse a nuestra coletividad, debe cumplir con los siguientes requisitos:1. Ser mayor de Edad 2. Encontrarse habilitado para sufragar 3. No haber sido sancionado o condenado por algún delito 4. Concordar con nuestra declaración de principios;Será oficialmente afiliado todo aquel ciudadano habilitado para sufragar o extranjero avecindado en Chile por más de 5 años y que compartan la Declaración de Principios del Partido y que se afilie a él, mediante la inscripción en los registros del Partido. No podrán afiliarse al partido las personas a quienes la ley se los prohíbe. La solicitud de afiliación al Partido deberá formalizarse ante el Secretario del Órgano ejecutivo regioanl donde tenga su domicilio el interesado, quien lo enviará al Secretario General del Partido para formalizar su inscripción. La solicitud de afiliación o adhesión deberá constar en duplicado debiendo el partido entregar una copia de esta al solicitante donde de cuenta de su recepción. El rechazo a una solicitud de afiliación o adhesión deberá realizarse por resolución fundada del Secretario General del Partido en un plazo no superior a los 40 días hábiles de presentada. Transcurrido dicho plazo sin pronunciamiento formal la solicitud se entenderá aceptada.;http://www.todos.cl/como/;8.638
PP031;Partido Todos;2017;Jul - Sep;Para incorporarse a nuestra coletividad, debe cumplir con los siguientes requisitos:1. Ser mayor de Edad 2. Encontrarse habilitado para sufragar 3. No haber sido sancionado o condenado por algún delito 4. Concordar con nuestra declaración de principios;Para llevar a cabo su afiliación, debe realizar los siguientes pasos: 1. Descargar la ficha de inscripción del partido.2.Completar la ficha con tus datos personales. 3.Autorizar tu firma en notaria. 4. Entregar tu ficha al Coordinador de TODOS en tu región.;http://www.todos.cl/como/;7.169
PP031;Partido Todos;2018;Abr - Jun;Para incorporarse a nuestra coletividad, debe cumplir con los siguientes requisitos:1. Ser mayor de Edad 2. Encontrarse habilitado para sufragar 3. No haber sido sancionado o condenado por algún delito 4. Concordar con nuestra declaración de principios;Será oficialmente afiliado todo aquel ciudadano habilitado para sufragar o extranjero avecindado en Chile por más de 5 años y que compartan la Declaración de Principios del Partido y que se afilie a él, mediante la inscripción en los registros del Partido. No podrán afiliarse al partido las personas a quienes la ley se los prohíbe. La solicitud de afiliación al Partido deberá formalizarse ante el Secretario del Órgano ejecutivo regioanl donde tenga su domicilio el interesado, quien lo enviará al Secretario General del Partido para formalizar su inscripción. La solicitud de afiliación o adhesión deberá constar en duplicado debiendo el partido entregar una copia de esta al solicitante donde de cuenta de su recepción. El rechazo a una solicitud de afiliación o adhesión deberá realizarse por resolución fundada del Secretario General del Partido en un plazo no superior a los 40 días hábiles de presentada. Transcurrido dicho plazo sin pronunciamiento formal la solicitud se entenderá aceptada.;http://www.todos.cl/como/;8496
PP031;Partido Todos;2017;Abr - Jun;Para incorporarse a nuestra coletividad, debe cumplir con los siguientes requisitos:1. Ser mayor de Edad 2. Encontrarse habilitado para sufragar 3. No haber sido sancionado o condenado por algún delito 4. Concordar con nuestra declaración de principios;Para llevar a cabo su afiliación, debe realizar los siguientes pasos: 1. Descargar la ficha de inscripción del partido.2.Completar la ficha con tus datos personales. 3.Autorizar tu firma en notaria. 4. Entregar tu ficha al Coordinador de TODOS en tu región.;http://www.todos.cl/como/;5.344
PP031;Partido Todos;2017;Ene - Mar;Para incorporarse a nuestra coletividad, debe cumplir con los siguientes requisitos:1. Ser mayor de Edad 2. Encontrarse habilitado para sufragar 3. No haber sido sancionado o condenado por algún delito 4. Concordar con nuestra declaración de principios;Para llevar a cabo su afiliación, debe realizar los siguientes pasos: 1. Descargar la ficha de inscripción del partido.2.Completar la ficha con tus datos personales. 3.Autorizar tu firma en notaria. 4. Entregar tu ficha al Coordinador de TODOS en tu región.;http://www.todos.cl/como/;2.704
PP031;Partido Todos;2016;Oct - Dic;Para incorporarse como militante a nuestra coletividad, debe cumplir con los siguientes requisitos: 1. Ser mayor de Edad 2. Encontrarse habilitado para sufragar 3. No estar afiliado a ningún otro partido político 4. Concordar con nuestra declaración de principios;Para llevar a cabo su afiliación, debe realizar los siguientes pasos: 1. Descargar la ficha de inscripción del partido. 2. Completar la ficha con tus datos personales. 3. Autorizar tu firma en notaria. 4. Entregar tu ficha al Coordinador de TODOS en tu región.;http://www.todos.cl/inscribete;1.510
PP031;Partido Todos;2018;Ene - Mar;Para incorporarse a nuestra coletividad, debe cumplir con los siguientes requisitos:1. Ser mayor de Edad 2. Encontrarse habilitado para sufragar 3. No haber sido sancionado o condenado por algún delito 4. Concordar con nuestra declaración de principios;Será oficialmente afiliado todo aquel ciudadano habilitado para sufragar o extranjero avecindado en Chile por más de 5 años y que compartan la Declaración de Principios del Partido y que se afilie a él, mediante la inscripción en los registros del Partido. No podrán afiliarse al partido las personas a quienes la ley se los prohíbe. La solicitud de afiliación al Partido deberá formalizarse ante el Secretario del Órgano ejecutivo regioanl donde tenga su domicilio el interesado, quien lo enviará al Secretario General del Partido para formalizar su inscripción. La solicitud de afiliación o adhesión deberá constar en duplicado debiendo el partido entregar una copia de esta al solicitante donde de cuenta de su recepción. El rechazo a una solicitud de afiliación o adhesión deberá realizarse por resolución fundada del Secretario General del Partido en un plazo no superior a los 40 días hábiles de presentada. Transcurrido dicho plazo sin pronunciamiento formal la solicitud se entenderá aceptada.;http://www.todos.cl/como/;8496
PP033;Partido Amplitud;2018;Ene - Mar;Podrá ser afiliado de Amplitud todo ciudadano con derecho a sufragio o extranjero avecindado en Chile por más de cinco años con derecho a voto, que no pertenezca a otro partido político y adopte voluntariamente el compromiso de aceptar y respetar su declaración de principios y sus estatutos;La condición de afiliado se adquiere mediante la inscripción en el registro general de afiliados del partido, la que deberá solicitarse ante la Directiva Comunal correspondiente al domicilio electoral del requirente. Si no hay Directiva Comunal en el territorio de que se trate, la solicitud deberá dirigirse a la Directiva Distrital pertinente y, a falta también de ésta, a la Directiva Regional. En dicha solicitud deberán consignarse los datos personales del requirente, su domicilio electoral y una declaración jurada sobre la circunstancia de no pertenecer a otro partido político. La aprobación o rechazo de la solicitud de afiliación corresponderá a la Directiva Distrital y, a falta de ésta, a la Directiva Regional, a las que será llevada, en su caso, por el Presidente de la Directiva Comunal que la recibió, cuyo parecer deberá ser oído por la directiva que deba decidir. La Directiva Distrital o Regional deberá pronunciarse sobre la solicitud de afiliación dentro del mes siguiente a la fecha de su presentación por parte del requirente. El Secretario distrital o regional, según corresponda, comunicará la decisión al solicitante y al Secretario General del partido, quien, en su caso, efectuará la inscripción del solicitante en el registro general de afiliados y emitirá un certificado de dicha inscripción. A partir de ese momento, el solicitante adquirirá la condición de afiliado y tendrá todos los derechos y deberes que establece el presente estatuto.;http://www.amplitud-chile.cl/actividades/ficha-militante-2016/;9.075
PP034;Partido Federación Regionalista Verde Social (FREVS);2019;Abr - Jun;Para incorporarse a nuestra coletividad, debe cumplir con los siguientes requisitos:1. Ser mayor de Edad 2. Encontrarse habilitado para sufragar 3. No haber sido sancionado o condenado por algún delito;El ingreso debe ser patrocinado por un afiliado al Partido y se hará ante la Directiva Comunal donde tenga su domicilio el interesado y si ésta no se encontrare constituida, ante la Directiva Provincial. En subsidio de las anteriores, se hará ante el Secretario General de la Directiva Central que será responsable del Registro de Afiliados. Dentro de los treinta días de suscrita una afiliación el Secretario General del partido podrá rechazarla por motivos fundados, por medio de una resolución escrita que expresará los motivos del rechazo y que le será notificada personalmente al interesado.;https://www.federacionregionalistaverdesocial.cl;3920
PP034;Partido Federación Regionalista Verde Social (FREVS);2019;Ene - Mar;Para incorporarse a nuestra coletividad, debe cumplir con los siguientes requisitos:1. Ser mayor de Edad 2. Encontrarse habilitado para sufragar 3. No haber sido sancionado o condenado por algún delito;El ingreso debe ser patrocinado por un afiliado al Partido y se hará ante la Directiva Comunal donde tenga su domicilio el interesado y si ésta no se encontrare constituida, ante la Directiva Provincial. En subsidio de las anteriores, se hará ante el Secretario General de la Directiva Central que será responsable del Registro de Afiliados. Dentro de los treinta días de suscrita una afiliación el Secretario General del partido podrá rechazarla por motivos fundados, por medio de una resolución escrita que expresará los motivos del rechazo y que le será notificada personalmente al interesado.;https://www.federacionregionalistaverdesocial.cl;3723
PP034;Partido Federación Regionalista Verde Social (FREVS);2018;Oct - Dic;Para incorporarse a nuestra coletividad, debe cumplir con los siguientes requisitos:1. Ser mayor de Edad 2. Encontrarse habilitado para sufragar 3. No haber sido sancionado o condenado por algún delito;El ingreso debe ser patrocinado por un afiliado al Partido y se hará ante la Directiva Comunal donde tenga su domicilio el interesado y si ésta no se encontrare constituida, ante la Directiva Provincial. En subsidio de las anteriores, se hará ante el Secretario General de la Directiva Central que será responsable del Registro de Afiliados. Dentro de los treinta días de suscrita una afiliación el Secretario General del partido podrá rechazarla por motivos fundados, por medio de una resolución escrita que expresará los motivos del rechazo y que le será notificada personalmente al interesado.;https://www.federacionregionalistaverdesocial.cl;3886
PP034;Partido Federación Regionalista Verde Social (FREVS);2018;Jul - Sep;Para incorporarse a nuestra coletividad, debe cumplir con los siguientes requisitos:1. Ser mayor de Edad 2. Encontrarse habilitado para sufragar 3. No haber sido sancionado o condenado por algún delito;El ingreso debe ser patrocinado por un afiliado al Partido y se hará ante la Directiva Comunal donde tenga su domicilio el interesado y si ésta no se encontrare constituida, ante la Directiva Provincial. En subsidio de las anteriores, se hará ante el Secretario General de la Directiva Central que será responsable del Registro de Afiliados. Dentro de los treinta días de suscrita una afiliación el Secretario General del partido podrá rechazarla por motivos fundados, por medio de una resolución escrita que expresará los motivos del rechazo y que le será notificada personalmente al interesado.;https://www.federacionregionalistaverdesocial.cl;3860
