Código del organismo;Nombre del organismo;Año informado;Trimestre informado;Unidades u órganos internos;Facultades, funciones y atribuciones
PP014;Partido Humanista (PH);2017;Oct - Dic;Consejos Regionales;Desarrollar la política y estrategia del Partido en conformidad a los acuerdos del Consejo General y conforme a las instrucciones de la Directiva Central
PP014;Partido Humanista (PH);2018;Abr - Jun;Tribunal Supremo;Juzgar disciplinariamente y sancionar la conducta política de los afiliados en la forma en que establecen los estatutos y la reglamentación interna. Interpretar los estatutos y reglamentos. Conocer de las cuestiones de competencia que se susciten entre autoridades u organismos del Partido. Conocer de las reclamaciones que se establecen contra actos de autoridades u organismos del Partido que sean violatorios de la declaración de principios o de los estatutos, y adoptar las medidas necesarias para corregirlos y enmendar sus resultados. Conocer de las denuncias que se formulen contra afiliados al Partido, sean o no autoridades de él, por actos de indisciplina o violatorios de la declaración de principios o de los estatutos, o por conductas indebidas que comprometan los intereses o el prestigio del Partido, y aplicar las medidas disciplinarias que los estatutos señalen, contemplando las disposiciones que hagan efectivo un debido proceso. Controlar el correcto desarrollo de las elecciones y votaciones partidistas y dictar las instrucciones generales o particulares que para tal efecto correspondan.
PP014;Partido Humanista (PH);2018;Abr - Jun;Consejo General;Designar a los miembros del Tribunal Supremo. Impartir orientaciones al Presidente y tomar acuerdos sobre cualquier aspecto de la marcha del partido. Aprobar o rechazar el balance. Proponer a los afiliados las modificaciones a la declaración de principios, la reforma de estatutos, la disolución del partido, la fusión con otro, la aprobación de un pacto electoral en elecciones de Parlamentarios o su retiro del mismo, y la persona del candidato a la Presidencia de la República, proclamándola oportunamente como tal. Aprobar o rechazar las proposiciones que se efectúen de acuerdo al artículo treinta y uno de la Ley número dieciocho mil seiscientos tres. Requerir del Presidente del Partido que convoque a los afiliados a pronunciarse de acuerdo con el artículo veintinueve de la misma ley. Velar especialmente por el cumplimiento de los acuerdos, declaración de principios, estatutos y programas aprobados por el mismo. Normar cualquier situación no prevista en los estatutos y resolver sobre las cotizaciones de los afiliados a propuesta de los Consejeros Regionales. Aprobar los reglamentos de elecciones internas de autoridades.
PP014;Partido Humanista (PH);2018;Abr - Jun;Directiva Central;Dirigir y ejecutar la política y estrategia del partido de conformidad a los acuerdos y cursos de acción aprobados por el Consejo General. Cumplir y hacer cumplir dichos acuerdos. Coordinar y dirigir la labor del partido en todos sus ámbitos, con todas las facultades necesarias para el logro de sus objetivos. Dirigir el partido en conformidad con sus estatutos, su programa y las orientaciones que imparta el Consejo General. Administrar los bienes del partido, rindiendo cuenta anual al Consejo General. Someter a la aprobación del Consejo General el programa y los Reglamentos Internos del Partido. Velar por el cumplimiento de las normas relativas a la contabilidad del Partido.
PP014;Partido Humanista (PH);2018;Abr - Jun;Consejos Regionales;Desarrollar la política y estrategia del Partido en conformidad a los acuerdos del Consejo General y conforme a las instrucciones de la Directiva Central
PP014;Partido Humanista (PH);2019;Abr - Jun;Consejo General;Designar a los miembros del Tribunal Supremo. Impartir orientaciones al Presidente y tomar acuerdos sobre cualquier aspecto de la marcha del partido. Aprobar o rechazar el balance. Proponer a los afiliados las modificaciones a la declaración de principios, la reforma de estatutos, la disolución del partido, la fusión con otro, la aprobación de un pacto electoral en elecciones de Parlamentarios o su retiro del mismo, y la persona del candidato a la Presidencia de la República, proclamándola oportunamente como tal. Aprobar o rechazar las proposiciones que se efectúen de acuerdo al artículo treinta y uno de la Ley número dieciocho mil seiscientos tres. Requerir del Presidente del Partido que convoque a los afiliados a pronunciarse de acuerdo con el artículo veintinueve de la misma ley. Velar especialmente por el cumplimiento de los acuerdos, declaración de principios, estatutos y programas aprobados por el mismo. Normar cualquier situación no prevista en los estatutos y resolver sobre las cotizaciones de los afiliados a propuesta de los Consejeros Regionales. Aprobar los reglamentos de elecciones internas de autoridades.
PP014;Partido Humanista (PH);2019;Abr - Jun;Equipo de Coordinaciòn Nacional;Dirigir y ejecutar la política y estrategia del partido de conformidad a los acuerdos y cursos de acción aprobados por el Consejo General. Cumplir y hacer cumplir dichos acuerdos. Coordinar y dirigir la labor del partido en todos sus ámbitos, con todas las facultades necesarias para el logro de sus objetivos. Dirigir el partido en conformidad con sus estatutos, su programa y las orientaciones que imparta el Consejo General. Administrar los bienes del partido, rindiendo cuenta anual al Consejo General. Someter a la aprobación del Consejo General el programa y los Reglamentos Internos del Partido. Velar por el cumplimiento de las normas relativas a la contabilidad del Partido.
PP014;Partido Humanista (PH);2019;Abr - Jun;Consejos Regionales;Desarrollar la política y estrategia del Partido en conformidad a los acuerdos del Consejo General y conforme a las instrucciones de la Directiva Central
PP014;Partido Humanista (PH);2019;Abr - Jun;Tribunal Supremo;Juzgar disciplinariamente y sancionar la conducta política de los afiliados en la forma en que establecen los estatutos y la reglamentación interna. Interpretar los estatutos y reglamentos. Conocer de las cuestiones de competencia que se susciten entre autoridades u organismos del Partido. Conocer de las reclamaciones que se establecen contra actos de autoridades u organismos del Partido que sean violatorios de la declaración de principios o de los estatutos, y adoptar las medidas necesarias para corregirlos y enmendar sus resultados. Conocer de las denuncias que se formulen contra afiliados al Partido, sean o no autoridades de él, por actos de indisciplina o violatorios de la declaración de principios o de los estatutos, o por conductas indebidas que comprometan los intereses o el prestigio del Partido, y aplicar las medidas disciplinarias que los estatutos señalen, contemplando las disposiciones que hagan efectivo un debido proceso. Controlar el correcto desarrollo de las elecciones y votaciones partidistas y dictar las instrucciones generales o particulares que para tal efecto correspondan.
PP014;Partido Humanista (PH);2018;Abr - Jun;Tribunal Supremo;Juzgar disciplinariamente y sancionar la conducta política de los afiliados en la forma en que establecen los estatutos y la reglamentación interna. Interpretar los estatutos y reglamentos. Conocer de las cuestiones de competencia que se susciten entre autoridades u organismos del Partido. Conocer de las reclamaciones que se establecen contra actos de autoridades u organismos del Partido que sean violatorios de la declaración de principios o de los estatutos, y adoptar las medidas necesarias para corregirlos y enmendar sus resultados. Conocer de las denuncias que se formulen contra afiliados al Partido, sean o no autoridades de él, por actos de indisciplina o violatorios de la declaración de principios o de los estatutos, o por conductas indebidas que comprometan los intereses o el prestigio del Partido, y aplicar las medidas disciplinarias que los estatutos señalen, contemplando las disposiciones que hagan efectivo un debido proceso. Controlar el correcto desarrollo de las elecciones y votaciones partidistas y dictar las instrucciones generales o particulares que para tal efecto correspondan.
PP014;Partido Humanista (PH);2018;Abr - Jun;Consejo General;Designar a los miembros del Tribunal Supremo. Impartir orientaciones al Presidente y tomar acuerdos sobre cualquier aspecto de la marcha del partido. Aprobar o rechazar el balance. Proponer a los afiliados las modificaciones a la declaración de principios, la reforma de estatutos, la disolución del partido, la fusión con otro, la aprobación de un pacto electoral en elecciones de Parlamentarios o su retiro del mismo, y la persona del candidato a la Presidencia de la República, proclamándola oportunamente como tal. Aprobar o rechazar las proposiciones que se efectúen de acuerdo al artículo treinta y uno de la Ley número dieciocho mil seiscientos tres. Requerir del Presidente del Partido que convoque a los afiliados a pronunciarse de acuerdo con el artículo veintinueve de la misma ley. Velar especialmente por el cumplimiento de los acuerdos, declaración de principios, estatutos y programas aprobados por el mismo. Normar cualquier situación no prevista en los estatutos y resolver sobre las cotizaciones de los afiliados a propuesta de los Consejeros Regionales. Aprobar los reglamentos de elecciones internas de autoridades.
PP014;Partido Humanista (PH);2018;Abr - Jun;Directiva Central;Dirigir y ejecutar la política y estrategia del partido de conformidad a los acuerdos y cursos de acción aprobados por el Consejo General. Cumplir y hacer cumplir dichos acuerdos. Coordinar y dirigir la labor del partido en todos sus ámbitos, con todas las facultades necesarias para el logro de sus objetivos. Dirigir el partido en conformidad con sus estatutos, su programa y las orientaciones que imparta el Consejo General. Administrar los bienes del partido, rindiendo cuenta anual al Consejo General. Someter a la aprobación del Consejo General el programa y los Reglamentos Internos del Partido. Velar por el cumplimiento de las normas relativas a la contabilidad del Partido.
PP014;Partido Humanista (PH);2018;Abr - Jun;Consejos Regionales;Desarrollar la política y estrategia del Partido en conformidad a los acuerdos del Consejo General y conforme a las instrucciones de la Directiva Central
PP014;Partido Humanista (PH);2018;Oct - Dic;Tribunal Supremo;Juzgar disciplinariamente y sancionar la conducta política de los afiliados en la forma en que establecen los estatutos y la reglamentación interna. Interpretar los estatutos y reglamentos. Conocer de las cuestiones de competencia que se susciten entre autoridades u organismos del Partido. Conocer de las reclamaciones que se establecen contra actos de autoridades u organismos del Partido que sean violatorios de la declaración de principios o de los estatutos, y adoptar las medidas necesarias para corregirlos y enmendar sus resultados. Conocer de las denuncias que se formulen contra afiliados al Partido, sean o no autoridades de él, por actos de indisciplina o violatorios de la declaración de principios o de los estatutos, o por conductas indebidas que comprometan los intereses o el prestigio del Partido, y aplicar las medidas disciplinarias que los estatutos señalen, contemplando las disposiciones que hagan efectivo un debido proceso. Controlar el correcto desarrollo de las elecciones y votaciones partidistas y dictar las instrucciones generales o particulares que para tal efecto correspondan.
PP014;Partido Humanista (PH);2018;Oct - Dic;Consejo General;Designar a los miembros del Tribunal Supremo. Impartir orientaciones al Presidente y tomar acuerdos sobre cualquier aspecto de la marcha del partido. Aprobar o rechazar el balance. Proponer a los afiliados las modificaciones a la declaración de principios, la reforma de estatutos, la disolución del partido, la fusión con otro, la aprobación de un pacto electoral en elecciones de Parlamentarios o su retiro del mismo, y la persona del candidato a la Presidencia de la República, proclamándola oportunamente como tal. Aprobar o rechazar las proposiciones que se efectúen de acuerdo al artículo treinta y uno de la Ley número dieciocho mil seiscientos tres. Requerir del Presidente del Partido que convoque a los afiliados a pronunciarse de acuerdo con el artículo veintinueve de la misma ley. Velar especialmente por el cumplimiento de los acuerdos, declaración de principios, estatutos y programas aprobados por el mismo. Normar cualquier situación no prevista en los estatutos y resolver sobre las cotizaciones de los afiliados a propuesta de los Consejeros Regionales. Aprobar los reglamentos de elecciones internas de autoridades.
PP014;Partido Humanista (PH);2018;Oct - Dic;Directiva Central;Dirigir y ejecutar la política y estrategia del partido de conformidad a los acuerdos y cursos de acción aprobados por el Consejo General. Cumplir y hacer cumplir dichos acuerdos. Coordinar y dirigir la labor del partido en todos sus ámbitos, con todas las facultades necesarias para el logro de sus objetivos. Dirigir el partido en conformidad con sus estatutos, su programa y las orientaciones que imparta el Consejo General. Administrar los bienes del partido, rindiendo cuenta anual al Consejo General. Someter a la aprobación del Consejo General el programa y los Reglamentos Internos del Partido. Velar por el cumplimiento de las normas relativas a la contabilidad del Partido.
PP014;Partido Humanista (PH);2018;Oct - Dic;Consejos Regionales;Desarrollar la política y estrategia del Partido en conformidad a los acuerdos del Consejo General y conforme a las instrucciones de la Directiva Central
PP019;Partido Por la Democracia (PPD);2019;Abr - Jun;Consejo Nacional;El Consejo Nacional es la autoridad máxima del partido. Se reunirá ordinariamente a lo menos dos veces en el año, en fechas fijadas con anterioridad a comienzos de cada año y en forma extraordinaria cuando lo convoque el presidente del partido o cuando así se lo soliciten al presidente al menos la mitad de sus miembros en ejercicio. Sus atribuciones son: a) Elegir a los miembros del Tribunal Supremo, b) Elegir a los miembros de la Comisión de Ética, c) Elegir a la Comisión de Gobierno, d) Impartir orientaciones al presidente y tomar acuerdos sobre cualquier aspecto de la marcha del partido, e) Aprobar, observar o rechazar el balance, f) Proponer a los afiliados modificaciones a la declaración de principios y a los estatutos, la disolución del partido, la fusión con otro u otros, la celebración de pactos con otros partidos o su retiro de ellos en elecciones parlamentarias, g) Proponer a los afiliados a la persona del candidato a la presidencia de la República proclamándola oportunamente como tal, h) Nominar a los candidatos a Senadores y a Diputados, y resolver el apoyo a candidaturas independientes, a proposición de los Consejos Regionales, i) Requerir al presidente del partido que convoque a los afiliados a pronunciarse de acuerdo con el artículo veintinueve de la Ley número dieciocho mil seiscientos tres, j) Elegir a la Comisión Revisora de Cuentas, k) Además todas las funciones que se establezcan en este estatuto y los reglamentos internos del partido.
PP019;Partido Por la Democracia (PPD);2019;Abr - Jun;Directiva Nacional;La Directiva Nacional es la autoridad máxima del partido en receso del Consejo Nacional. Le corresponderá dirigir y ejecutar la política y estrategia del partido de conformidad a los acuerdos y lineamientos aprobados por el Consejo Nacional, cumplir y hacer que se cumplan dichos acuerdos y, en general, coordinar y dirigir la labor del partido en todos sus ámbitos. En cumplimiento de sus funciones podrá especialmente:a) dirigir al partido en conformidad con sus estatutos, su programa y sus lineamientos impartidos por el Consejo Nacional: b) administrar los bienes del partido rindiendo cuenta anual al Consejo Nacional: c) someter a la aprobación del Consejo Nacional el programa y los reglamentos internos del partido. La Directiva naciional no podrá en ningún caso ejercer las funciones y/o atribuciones privativas del Consejo Nacional.
PP019;Partido Por la Democracia (PPD);2019;Abr - Jun;Comisión Política;La Comisión Política, organismo de decisión cotidiana delegado por la Directiva Nacional, tendrá un reglamento interno que establecerá las normas y procedimientos de convocatoria y funcionamiento.
PP019;Partido Por la Democracia (PPD);2019;Abr - Jun;Mesa Directiva;a) el Presidente ejercerá la representación oficial del Partido Por la Democracia y precidirá las sesiones del Consejo Nacional, la Directiva Nacional, la Comisión Política y la Mesa Directiva, dirimiendo en caso de empate las votaciones en estos órganos. b) Los Vicepresidentes, en el orden de precedencia en que hayan sido electos, reemplazaran al presidente en caso de ausencia, impedimento temporal o a simple petición de éste, y cumplirán las funciones específicas que la Directiva Nacional, Comisión Política y Mesa Directiva les encomiende. c) El secretario general actuará como ministro de fé en todos los actos del partido, dentrá a su cargo la custodia de los documentos del partido, coordinará las Secretarías Nacionales y demás órganos ejecutivos que se establezcan, llevará el registro de los afiliadosy el de los adherentes y desempeñará las demás funciones que la ley, los estatutos y los reglamentos internos le señalen. El cargo de secretario general será incompatible con la condición de Parlamentario. d) La tesorera tendrá a su cargo el manejo de los ingresos y egresos del partido y la recaudación de las cuotas que determinará el Consejo Nacional. Será responsable del libro general de ingresos y egresos, además del libro de inventario y de balances, debiendo conservar la documentación que respalde sus anotaciones. e) La Mesa Directiva deberá, al constituirse luego de cada elección, asignar responsabilidades teméticas y de área de trabajo a cada una de las vicepresidencias. Esta asignación de responsabilidad debe incluir al menos el tema de la mujer, teniendo prioridad para esa asignación de responsabilidad la vicepresidenta con mayor votación.
PP019;Partido Por la Democracia (PPD);2019;Abr - Jun;Consejo Regional;Son los máximos órganos resolutivos del Partido en la Región, tendrá las siguientes atribuciones: a) elegir a los candidatos a alcaldes, concejales y consejeros del Gobierno Regional b) elegir a los miembros de los Tribunales de Honor Regionales, c) elaborar el programa para la región, d) proponer al Consejo Nacional precandidatos a Diputados y Senadores de la región, y e) decidir la organización territorial más adecuada a su realidad, pudiendo constituir directivas provinciales o distritales. Cuando exista más de un precandidato a Diputado o Senador, la proposición al Consejo Nacional derivará de un procedimiento de primarias a nivel local, según procedimiento definido en el reglamento de elecciones, y cuyos resultados sólo podrán ser alterados en el orden de precedencia, con aprobación de los dos tercios de los consejeros regionales presentes en la elección. Para la elección de candidatos a alcaldes, concejales y consejeros regionales del Gobierno Regional, el Consejo Regional del partido requerirá la aprobación de dos tercios de los consejeros presentes para modificar el resultado emanado de los procedimientos de consulta ciudadana establecidos para la ocasión.
PP019;Partido Por la Democracia (PPD);2019;Abr - Jun;Directiva Regional;Corresponderá a las Directivas Regionales, Provinciales o Distritales y Comunales en sus respectivos territorios, desarrollar la política y estrategia del partido en conformidad a los acuerdos del Consejo Regional correspondiente, a las resoluciones del Consejo Nacional y conforme a las instrucciones de la Directiva Nacional, Comisión Política y Mesa Directiva del partido. Los organismos funcionales del partido deberán concordar las actividades que desarrollen a nivel territorial con las respectivas Directivas.
PP019;Partido Por la Democracia (PPD);2019;Abr - Jun;Mesa Directiva Regional;La Mesa Directiva Regional es el órgano Ejecutivo en la Región. Cada Directiva Regional tendrá una Mesa Directiva, integrada por el (o la) presidente(a), secretario(a) general, tesorero(a), Cinco vicepresidentes(as) y los demás miembros electos en conformidad a la ley, según el procedimiento descrito por el reglamento de elecciones.
PP019;Partido Por la Democracia (PPD);2019;Abr - Jun;Directiva Provincial y/o Distrital;Corresponderá a las Directivas Regionales, Provinciales o Distritales y Comunales en sus respectivos territorios, desarrollar la política y estrategia del partido en conformidad a los acuerdos del Consejo Regional correspondiente, a las resoluciones del Consejo Nacional y conforme a las instrucciones de la Directiva Nacional, Comisión Política y Mesa Directiva del partido. Los organismos funcionales del partido deberán concordar las actividades que desarrollen a nivel territorial con las respectivas Directivas.
PP019;Partido Por la Democracia (PPD);2019;Abr - Jun;Mesa Directiva Provincial y/o distrital;La Mesa Directiva Provincial y/o distrital es el órgano Ejecutivo en la Provincia y/o distrito. Cada Directiva Provincial o Distrital tendrá una Mesa Directiva de la Provincia o Distrito, conformada por presidente(a), secretario(a) general y tesorero(a), elegidos de conformidad a la ley, según procedimiento descrito por el reglamento de elecciones.
PP019;Partido Por la Democracia (PPD);2019;Abr - Jun;Directiva comunal;Corresponderá a las Directivas Regionales, Provinciales o Distritales y Comunales en sus respectivos territorios, desarrollar la política y estrategia del partido en conformidad a los acuerdos del Consejo Regional correspondiente, a las resoluciones del Consejo Nacional y conforme a las instrucciones de la Directiva Nacional, Comisión Política y Mesa Directiva del partido. Los organismos funcionales del partido deberán concordar las actividades que desarrollen a nivel territorial con las respectivas Directivas.
PP019;Partido Por la Democracia (PPD);2019;Abr - Jun;Mesa Directiva Comunal;La Mesa Directiva Comunal es el órgano Ejecutivo en la comuna. En cada comuna habrá una Mesa Directiva integrada por presidente(a), secretario(a) general y tesorero(a), elegidos de conformidad a la ley, según procedimiento descrito por el reglamento de elecciones. Integrarán, además, la Directiva Comunal, seis vocales elegidos directamente por los afiliados del territorio según procedimiento descrito en el reglamento de Elecciones. También integrarán la Directiva Comunal el Alcalde y concejales afiliados al Partido, así como los presidentes de los Consejos de Base que existan en la comuna.
PP019;Partido Por la Democracia (PPD);2019;Abr - Jun;Consejos de Base;Cinco o más afiliados del partido podrán constituir un Consejo de Base que podrá tener su origen en una organización de carácter vecinal, laboral o de alguna otra naturaleza que sus miembros estimen conveniente. Su actuación se sujetará a la normativa y línea política del partido, pudiendo desarrollar todas las actividades conducentes a la expansión de éste y de su doctrina, conforme a la declaración de principios. Su organización quedará definida por sus propios reglamentos internos.
PP019;Partido Por la Democracia (PPD);2019;Abr - Jun;Tribunal Supremo;El Tribunal Supremo es el órgano jurisdiccional superior del Partido Por la Democracia y sus funciones serán a) Interpretar los estatutos, reglamentos y declaración de principios del partido b) Conocer y resolver las cuestiones de competencia que se susciten entre autoridades u organismos del partido c) Conocer de las reclamaciones que se entablen contra actos de autoridades u organismos del partido que sean estimados violatorios de los estatutos, reglamentos y declaración de principios y adoptar las medidas necesarias para corregirlos y enmendar sus resultados d) Conocer y juzgar de oficio o a petición de parte, la conducta partidaria de los afiliados y aplicar las medidas disciplinarias por acciones u omisiones que constituyan incumplimiento de sus obligaciones y deberes partidarios, con infracción de estos estatutos, reglamentos partidarios, declaración de principios, línea política, acuerdos de los órganos regulares del partido, o cuando por actos de indisciplina se comprometa el prestigio o los intereses del partido. Conocer de las denuncias que se formulen contra los afiliados, sean o no autoridades del partido, y aplicar las medidas disciplinarias que los estatutos señalen, contemplando las disposiciones que hagan efectivo un debido proceso e) Controlar el correcto desarrollo de las elecciones y votaciones partidarias y dictar las instrucciones generales o particulares que para tal efecto correspondan. f) Las demás atribuciones que el Consejo Nacional acordare entregarle y que no correspondan a otro organismo partidario de acuerdo a la ley o estatutos y g) Las que dentro de su competencia, establezca el propio Tribunal Supremo mediante autos acordados dictados al efecto.
PP019;Partido Por la Democracia (PPD);2019;Abr - Jun;Tribunales de Honor Regionales;En cada Región existirá un Tribunal de Honor Regional. Son los órganos juridisccionales regionales del partido y tendrán el carácter de tribunales de primera instancia. Los Tribunales de Honor Regionales podrán suspender la calidad de afiliado de un inculpado o de quien fuere parte de un procedimiento o proceso ante un tribunal del partido, y también podrán suspenderlo del cargo que estuviere ejerciendo dentro de la organización interna del partido, mientras se tramita el proceso, o hasta que el Tribunal de Honor Regional determine, cuando a su juicio, el mérito de los antecedentes lo hiciere necesario. Estas sentencias sólo producirán efecto si son consultadas y ratificadas por el Tribunal Supremo. Las sentencias de los Tribunales de Honor Regionales pueden ser apeladas ante el Tribunal Supremo, dentro del plazo de diez días de notificado el fallo. Los Tribunales de Honor tendrán cinco miembros que serán elegidos por el Consejo Regional respectivo de entre los afiliados de la región, según el procedimiento descrito en el reglamento de elecciones. Podrá ser elegido miembro de los Tribunales de Honor Regionales cualquier afiliado del partido que no ocupe un cargo dirigente en ninguna de las instancias partidarias definidas por el estatuto del partido.
PP019;Partido Por la Democracia (PPD);2019;Abr - Jun;Comisión de Ética;Las funciones de la Comisión de Ética serán a) Accionar ante el Tribunal Supremo sobre materias de la vida partidaria que a su juicio tengan implicancias éticas b) Recibir y contestar consultas de los órganos del partido relativas a los alcances éticos de decisiones que deban adoptarse c) Realizar estudios para enriquecer el análisis de determinadas materias, desde la perspectiva de los alcances éticos de las mismas d) Hacerse parte, si así lo desea, en cualquier causa que se siga ante cualquier Tribunal del partido e) Las demás atribuciones que le encomiende este estatuto y el Consejo Nacional del partido.
PP021;Partido Progresista (PRO);2016;Oct - Dic;Directiva Nacional;La Directiva Central del Partido es la autoridad máxima de éste, sin perjuicio de las decisiones del Consejo General y de los Plebiscitos de Bases y Plebiscito de Bases Ampliado.<br>La actual Directiva Nacional cuenta con seis miembros.<br>a. Dirigir el Partido en conformidad con sus Estatutos, sus principios, su propuesta programática y los lineamientos que impartan el Consejo General y de las decisiones tomadas en el Plebiscito de Bases y el Plebiscito de Bases Ampliado.<br>b. Administrar los bienes y activos del Partido, debiendo rendir cuenta anual de dicha administración al Consejo General.<br>c. Someter a la aprobación del Consejo General el programa del Partido.<br>d. Crear comisiones funcionales o sectoriales, según lo amerite la adecuada dirección del Partido.<br>e. Citar, a requerimiento escrito de Afiliados del Partido que constituyan un 30% del total de Afiliados, a un referéndum revocatorio de uno o más de los miembros de los órganos que conforman la organización interna del Partido a nivel nacional, que haya sido elegido directa o indirectamente por los Afiliados del Partido. Para ello, las firmas de los Afiliados recurrentes deberán estar autorizadas ante notario público.
PP021;Partido Progresista (PRO);2016;Oct - Dic;Consejo General;El Consejo General del Partido, internamente conocido como Consejo Federal, está integrado por los o las Senadores(as) y Diputados(as) de la República, en caso de que sean afiliados al Partido, y un número de miembros elegidos por los Consejos Regionales del Partido.<br>a. Designar a los miembros del Tribunal Supremo, internamente conocido como Comisión PRO + Democracia.<br>b. Entregar directrices al Presidente del Partido, y tomar acuerdos respecto de la marcha del Partido u otro tema relevante.<br>c. Aprobar, observar o rechazar el balance del Partido.<br>d. Para los efectos anteriores, el balance debe ser presentado para su aprobación por el Tesorero o Vicepresidente de Finanzas del Partido, y haber sido previamente aprobado por los inspectores de cuenta o auditores externos que, al efecto, designe el Consejo General , quienes durarán dos años en sus funciones.<br>e. Proponer la realización del Plebiscito de Bases para la ratificación de las materias señaladas en el artículo décimo de los presentes Estatutos.<br>f. Ordenar a la Directiva Central del Partido que cite a un Plebiscito de Bases, cuando corresponda de conformidad a los presentes estatutos.<br>g. Proclamar al candidato a la Presidencia de la República. El Consejo General no podrá nominar un candidato distinto de aquellos que hubiesen ganado las primarias que, al efecto, se realicen.<br>h. Nominar a los candidatos a Senadores y Diputados, que hayan sido propuestos por los Consejos Regionales. El Consejo General no podrá nominar un candidato distinto de aquellos que hubiesen ganado las primarias.<br>i. La aprobación del programa político del Partido.<br>j. Remover a uno o más miembros del Tribunal Supremo o Comisión PRO + Democracia, lo que deberá ser aprobado por el 80% de los miembros del Consejo General.<br>k. Además, todas las demás funciones que se contemplen en los presentes Estatutos, en la restante normativa del Partido y en la ley N° 18.603.
PP021;Partido Progresista (PRO);2016;Oct - Dic;Tribunal Supremo;La Comisión PRO + Democracia tiene como misión esencial ser guardián del espíritu del Partido, graficado en los Estatutos y en su declaración de principios. Para el cumplimiento de lo anterior, guiará, más con la persuasión que por la coacción, a los Afiliados del Partido, con el objeto de que el accionar de éstos sea coherente con los principios fundamentales del mismo.<br>Las atribuciones de la Comisión PRO + Democracia, además de otras que le asigne la ley, son las siguientes:<br>a. Interpretar los Estatutos y reglamentos del Partido.<br>b. Conocer de las cuestiones de competencia que se susciten entre autoridades u organismos del Partido.<br>c. Conocer de las reclamaciones que se entablen contra actos de autoridades u organismos del Partido que sean estimados violatorios de la declaración de principios o de los Estatutos, y adoptar las medidas necesarias para corregirlos y enmendar sus resultados.<br>d. Conocer, ya sea actuando de oficio o como respuesta a una denuncia, de los actos de indisciplina o violatorios de la declaración de principios o de los Estatutos, de cualquier Afiliado, sea o no autoridad del Partido, o de conductas indebidas que comprometan los intereses o el prestigio del Partido, y aplicar las medidas disciplinarias que los Estatutos señalen, contemplando, a través de un auto acordado que la Comisión PRO + Democracia dictará al efecto, las disposiciones que hagan efectivo un debido proceso.<br>e. Aplicar las medidas disciplinarias correspondientes para los Afiliados que incumplan con sus obligaciones contenidos en los presentes Estatutos.<br>f. Controlar el correcto desarrollo de las elecciones generales y primarias del Partido, y dictar las instrucciones generales o particulares que para tal efecto correspondan.<br>g. Dictar, modificar y derogar, en cualquier tiempo, los autos acordados que estime necesarios para el cumplimiento de sus funciones.<br>h. Las demás facultades y atribuciones que el Consejo General del Partido acuerde otorgarle, y que, de conformidad a la ley o los Estatutos, no correspondan a otro organismo del Partido .
PP021;Partido Progresista (PRO);2016;Oct - Dic;Directiva Regional;El Partido tiene Directivas Regionales en cada una de las regiones del país. Sus miembros son elegidos en forma directa por los afiliados inscritos en el Registro Electoral en la respectiva región, de conformidad al reglamento de elecciones internas del Partido.<br>Atribuciones de las directivas regionales<br>La Directiva Regional del Partido es la autoridad máxima de éste en la respectiva región administrativa de Chile, sin perjuicio de las atribuciones del Consejo Regional.<br>Es labor de la Directiva Regional la ejecución de las políticas del Partido en la región, y en el desempeño de ella siempre deberá ajustarse a los lineamientos y orientaciones del Consejo Regional, del Consejo General y de la Directiva Central, sin poder ejercer, en ningún caso, las funciones y atribuciones que sean privativas de estos organismos.<br>Asimismo, es obligación de la Directiva Regional citar, a requerimiento de los Afiliados del Partido inscritos en los Registros Electorales de la respectiva Región, que constituyan un 30% del total de Afiliados inscritos en los Registros Electorales de dicha Región, a un referéndum revocatorio de uno o más de los miembros de los órganos que conforman la organización regional del Partido. Para ello, las firmas de los Afiliados recurrentes deberán estar autorizadas ante notario público.<br>Cada Directiva Regional cuenta con un Presidente Regional, Secretario Regional y Tesorero Regional.
