Código del organismo;Nombre del organismo;Año informado;Trimestre informado;Nombre del Pacto;Partidos que lo conforman;Tipo o carácter del pacto;Año de elecciones
PP022;Partido Radical de Chile;2019;Abr-Jun;Concertación de Partido por la Democracia;Partido Demócrata Cristiano, Partido Socialista de Chile, Partido Por la Democracia, Partido Radical Socialdemócrata, e Independientes;Elección Presidencial;2001
PP022;Partido Radical de Chile;2019;Abr-Jun;Concertación de Partido por la Democracia;Partido Demócrata Cristiano, Partido Socialista de Chile, Partido Por la Democracia, Partido Radical Socialdemócrata, e Independientes;Elección Parlamentaria;2001
PP022;Partido Radical de Chile;2019;Abr-Jun;Concertación de Partido por la Democracia;Partido Demócrata Cristiano, Partido Socialista de Chile, Partido Por la Democracia, Partido Radical Socialdemócrata, Partido Liberal e Independientes;Elección de Alcaldes;2000
PP022;Partido Radical de Chile;2019;Abr-Jun;Concertación de Partido por la Democracia;Partido Demócrata Cristiano, Partido Socialista de Chile, Partido Por la Democracia, Partido Radical Socialdemócrata, Partido Liberal e Independientes;Elección de Concejales;2000
PP022;Partido Radical de Chile;2019;Abr-Jun;Concertación de Partido por la Democracia;Partido Demócrata Cristiano, Partido Socialista de Chile, Partido Por la Democracia, Partido Radical Socialdemócrata, e Independientes;Elección Presidencial;1999
PP022;Partido Radical de Chile;2019;Abr-Jun;Concertación de Partido por la Democracia;Partido Demócrata Cristiano, Partido Socialista de Chile, Partido Por la Democracia, Partido Radical Socialdemócrata, e Independientes;Elección Parlamentaria;1997
PP022;Partido Radical de Chile;2019;Abr-Jun;Concertación de Partido por la Democracia;Partido Demócrata Cristiano, Partido Socialista de Chile, Partido Por la Democracia, Partido Radical Socialdemócrata, e Independientes;Elección de alcaldes;1996
PP022;Partido Radical de Chile;2019;Abr-Jun;Concertación de Partido por la Democracia;Partido Demócrata Cristiano, Partido Socialista de Chile, Partido Por la Democracia, Partido Radical Socialdemócrata, e Independientes;Elección de Concejales;1996
PP025;Partido Socialista de Chile PS;2019;ene - mar;La Fuerza de la Mayoría;Partido Radical Socialdemocrata, Partido Comunista de Chile, Partido Socialista de Chile, Partido Por la Democracia, Independientes;Presidencial;2017
PP025;Partido Socialista de Chile PS;2019;ene - mar;La Fuerza de la Mayoría;Partido Radical Socialdemocrata, Partido Comunista de Chile, Partido Socialista de Chile, Partido Por la Democracia, Independientes;Parlamentaria;2017
PP025;Partido Socialista de Chile PS;2019;ene - mar;Unidos por la Descentralización;Partido Demócrata Cristiano, Partido Socialista de Chile, Independientes;Consejeros Regionales;2017
PP025;Partido Socialista de Chile PS;2019;ene - mar;Nueva Mayoría;Partido Demócrata Cristiano, Partido Socialista de Chile, Partido Por la Democracia, Partido Comunista de Chile, Partido Radical Social Demócrata, Partido MAS Región, Partido Izquierda Ciudadana de Chile, Independientes;Alcaldicia;2016
PP025;Partido Socialista de Chile PS;2019;ene - mar;Nueva Mayoría para Chile;Partido Demócrata Cristiano, Partido Socialista de Chile, Independientes;Concejal;2016
PP025;Partido Socialista de Chile PS;2019;ene - mar;Nueva Mayoría;Partido Demócrata Cristiano, Partido Socialista de Chile, Partido Por la Democracia, Partido Comunista de Chile, Partido Radical Social Demócrata, Partido MAS Región, Partido Izquierda Ciudadana de Chile, Independientes;Presidencial;2013
PP025;Partido Socialista de Chile PS;2019;ene - mar;Nueva Mayoría;Partido Demócrata Cristiano, Partido Socialista de Chile, Partido Por la Democracia, Partido Comunista de Chile, Partido Radical Social Demócrata, Partido MAS Región, Partido Izquierda Ciudadana de Chile, Independientes;Parlamentaria;2013
PP025;Partido Socialista de Chile PS;2019;ene - mar;Nueva Mayoría para Chile;Partido Demócrata Cristiano, Partido Socialista de Chile, Independientes;Consejeros Regionales;2013
PP025;Partido Socialista de Chile PS;2019;ene - mar;Concertación de Partidos por la Democracia;Partido Demócrata Cristiano, Partido por la Democracia, Partido Socialista de Chile, Partido Radical Socialdemócrata, independientes;Alcaldicia;2012
PP025;Partido Socialista de Chile PS;2019;ene - mar;Concertación Democrática;Partido Demócrata Cristiano, Partido Socialista de Chile, Independientes;Concejal;2012
PP025;Partido Socialista de Chile PS;2019;ene - mar;Concertación de Partidos por la Democracia;Partido Demócrata Cristiano, Partido por la Democracia, Partido Socialista de Chile, Partido Radical Socialdemócrata, independientes;Presidencial;2009
PP025;Partido Socialista de Chile PS;2019;ene - mar;Concertación y Juntos Podemos por más Democracia;Partido Demócrata Cristiano, Partido por la Democracia, Partido Socialista de Chile, Partido Radical Socialdemócrata, Partido Comunista, Izquierda Cristiana, independientes;Parlamentaria;2009
PP025;Partido Socialista de Chile PS;2019;ene - mar;Concertación Democrática;Partido Demócrata Cristiano, Partido Socialista de Chile, Independientes;Alcaldicia;2008
PP025;Partido Socialista de Chile PS;2019;ene - mar;Concertación Democrática;Partido Demócrata Cristiano, Partido Socialista de Chile, Independientes;Concejal;2008
PP025;Partido Socialista de Chile PS;2019;ene - mar;Concertación de Partidos por la Democracia;Partido Demócrata Cristiano, Partido por la Democracia, Partido Socialista de Chile, Partido Radical Socialdemócrata, independientes;Presidencial;2005
PP025;Partido Socialista de Chile PS;2019;ene - mar;Concertación Democrática;Partido Demócrata Cristiano, Partido por la Democracia, Partido Socialista de Chile, Partido Radical Socialdemócrata, independientes;Parlamentaria;2005
PP025;Partido Socialista de Chile PS;2019;ene - mar;Concertación por la Democracia;Partido Demócrata Cristiano, Partido por la Democracia, Partido Socialista de Chile, Partido Radical Socialdemócrata, independientes;Alcaldicia;2004
PP025;Partido Socialista de Chile PS;2019;ene - mar;Concertación por la Democracia;Partido Demócrata Cristiano, Partido por la Democracia, Partido Socialista de Chile, Partido Radical Socialdemócrata, independientes;Concejal;2004
PP025;Partido Socialista de Chile PS;2019;ene - mar;Concertación de Partidos por la Democracia;Partido Demócrata Cristiano, Partido por la Democracia, Partido Socialista de Chile, Partido Radical Socialdemócrata, independientes;Parlamentaria;2001
PP025;Partido Socialista de Chile PS;2019;ene - mar;Concertación de Partidos por la Democracia;Partido Demócrata Cristiano, Partido por la Democracia, Partido Socialista de Chile, Partido Radical Socialdemócrata, independientes;Alcaldicia;2000
PP025;Partido Socialista de Chile PS;2019;ene - mar;Concertación de Partidos por la Democracia;Partido Demócrata Cristiano, Partido por la Democracia, Partido Socialista de Chile, Partido Radical Socialdemócrata, independientes;Presidencial;1999
PP025;Partido Socialista de Chile PS;2019;ene - mar;Concertación de Partidos por la Democracia;Partido Demócrata Cristiano, Partido por la Democracia, Partido Socialista de Chile, Partido Radical Socialdemócrata, independientes;Parlamentaria;1997
PP025;Partido Socialista de Chile PS;2019;ene - mar;Concertación por la Democracia;Partido Demócrata Cristiano, Partido por la Democracia, Partido Socialista de Chile, Partido Radical Socialdemócrata, independientes;Alcaldicia;1996
PP025;Partido Socialista de Chile PS;2019;ene - mar;Concertación de Partidos por la Democracia;Partido Demócrata Cristiano, Partido por la Democracia, Partido Socialista de Chile, Partido Radical Socialdemócrata, independientes;Presidencial;1993
PP025;Partido Socialista de Chile PS;2019;ene - mar;Concertación de Partidos por la Democracia;Partido Demócrata Cristiano, Partido por la Democracia, Partido Socialista de Chile, Partido Radical, Partido Socialdemocracia Chilena, Independientes;Parlamentaria;1993
PP025;Partido Socialista de Chile PS;2019;ene - mar;Concertación por la Democracia;Partido Demócrata Cristiano, Partido por la Democracia, Partido Socialista de Chile, Partido Radical, Partido Socialdemocracia Chilena, Alianza Humanista Verde Independientes;Alcaldicia;1992
PP026;Partido Unión Demócrata Independiente - UDI;2017;Oct - Dic;Pacto Chile Vamos;Unión Demócrata Independiente, Evolución Política,Partido Regionalista de los Independientes, Renovación Nacional,;Elección Primaria Presidencial;2017
PP026;Partido Unión Demócrata Independiente - UDI;2017;Oct - Dic;Pacto Chile Vamos;Unión Demócrata Independiente, Evolución Política,Partido Regionalista de los Independientes, Renovación Nacional,;Elección Presidencial;2017
PP026;Partido Unión Demócrata Independiente - UDI;2017;Oct - Dic;Pacto Chile Vamos;Unión Demócrata Independiente, Evolución Política,Partido Regionalista de los Independientes, Renovación Nacional,;Elección Parlamentaria;2017
PP026;Partido Unión Demócrata Independiente - UDI;2017;Oct - Dic;Pacto Chile Vamos- UDI- PRI- Independientes;Unión Demócrata Independiente,Partido Regionalista de los Independientes,;Elección Consejeros Regionales;2017
PP026;Partido Unión Demócrata Independiente - UDI;2016;Oct - Dic;Pacto Chile Vamos UDI - Independientes;Unión Demócrata Independiente, Independientes;elección de concejales;2016
PP026;Partido Unión Demócrata Independiente - UDI;2016;Oct - Dic;Pacto Chile Vamos;Unión Demócrata Independiente, Renovación Nacional, Idenpendientes, Partido Regionalista de los Independientes, Evolución Política;elección de alcaldes;2016
PP027;Partido Poder Ciudadano;2017;Oct - Dic;Frente Amplio;Poder Ciudadano, Ecologista Verde, Igualdad, Humanista, Liberal de Chile, Revolución Democrática;Presidencial y Parlamentarias;2017
PP027;Partido Poder Ciudadano;2017;Oct - Dic;Frente Ecologista y Ciudadano;Poder Ciudadano, Ecologista Verde;Consejeros Regionales;2017
PP027;Partido Poder Ciudadano;2017;Jul - Sep;Frente Amplio;Poder Ciudadano, Ecologista Verde, Igualdad, Humanista, Liberal de Chile, Revolución Democrática;Presidencial y Parlamentarias;2017
PP027;Partido Poder Ciudadano;2017;Jul - Sep;Frente Ecologista y Ciudadano;Poder Ciudadano, Ecologista Verde;Consejeros Regionales;2017
PP027;Partido Poder Ciudadano;2017;Abr - Jun;Frente Amplio;Poder Ciudadano, Ecologista Verde, Igualdad, Humanista, Liberal de Chile, Revolución Democrática;Presidencial y Parlamentarias;2017
PP027;Partido Poder Ciudadano;2017;Abr - Jun;Sin definicion de pacto electoral para el tirmestre;-;Consejeros Regionales;2017
PP027;Partido Poder Ciudadano;2017;Ene - Mar;Sin definicion de pacto electoral para el tirmestre;-;Presidencial y Parlamentarias;2017
PP027;Partido Poder Ciudadano;2017;Ene - Mar;Sin definicion de pacto electoral para el tirmestre;-;Consejeros Regionales;2017
PP027;Partido Poder Ciudadano;2016;Oct - Dic;Pacto Poder ecologista y ciudadano;Poder Ciudadano, Ecologista Verde, Independientes;Concejal;2016
PP027;Partido Poder Ciudadano;2016;Oct - Dic;Pacto Poder ecologista y ciudadano;Poder Ciudadano, Ecologista Verde, Independientes;Alcaldicia;2016
PP028;Partido Renovación Nacional (RN);2016;Oct - Dic;Pacto Chile Vamos;Renovación Nacional,;Elección de Alcaldes;2016
PP028;Partido Renovación Nacional (RN);2016;Oct - Dic;Pacto Chile Vamos;Unión Demócrata Independiente,;Elección de Alcaldes;2016
PP028;Partido Renovación Nacional (RN);2016;Oct - Dic;Pacto Chile Vamos;Partido Regionalista de los Independientes,;Elección de Alcaldes;2016
PP028;Partido Renovación Nacional (RN);2016;Oct - Dic;Pacto Chile Vamos;Evolución Política,;Elección de Alcaldes;2016
PP028;Partido Renovación Nacional (RN);2016;Oct - Dic;Pacto Chile Vamos;Independientes;Elección de Alcaldes;2016
PP028;Partido Renovación Nacional (RN);2016;Oct - Dic;-;-;-;-
PP028;Partido Renovación Nacional (RN);2016;Oct - Dic;Pacto Chile Vamos RN-Independientes;Renovación Nacional,;Elección de Concejales;2016
PP028;Partido Renovación Nacional (RN);2016;Oct - Dic;Pacto Chile Vamos RN-Independientes;Independientes;Elección de Concejales;2016
PP028;Partido Renovación Nacional (RN);2018;Ene - Mar;Pacto Chile Vamos;Renovación Nacional,;Coalición de Gobierno;2017
PP028;Partido Renovación Nacional (RN);2018;Ene - Mar;Pacto Chile Vamos;Unión Demócrata Independiente,;Coalición de Gobierno;2017
PP028;Partido Renovación Nacional (RN);2018;Ene - Mar;Pacto Chile Vamos;Partido Regionalista de los Independientes,;Coalición de Gobierno;2017
PP028;Partido Renovación Nacional (RN);2018;Ene - Mar;Pacto Chile Vamos;Evolución Política,;Coalición de Gobierno;2017
PP028;Partido Renovación Nacional (RN);2018;Ene - Mar;Pacto Chile Vamos;Independientes;Coalición de Gobierno;2017
PP028;Partido Renovación Nacional (RN);2018;Ene - Mar;-;-;-;-
PP028;Partido Renovación Nacional (RN);2017;Oct - Dic;Pacto Chile Vamos RN-Evopoli;Renovación Nacional,;Elección de Consejeros Regionales;2017
PP028;Partido Renovación Nacional (RN);2017;Oct - Dic;Pacto Chile Vamos RN-Evopoli;Evolución Política,;Elección de Consejeros Regionales;2017
PP028;Partido Renovación Nacional (RN);2017;Oct - Dic;Pacto Chile Vamos RN-Evopoli;Independientes;Elección de Consejeros Regionales;2017
PP028;Partido Renovación Nacional (RN);2017;Oct - Dic;-;-;-;-
PP028;Partido Renovación Nacional (RN);2017;Oct - Dic;Pacto Chile Vamos;Renovación Nacional,;Elección Parlamentaria;2017
PP028;Partido Renovación Nacional (RN);2017;Oct - Dic;Pacto Chile Vamos;Unión Demócrata Independiente,;Elección Parlamentaria;2017
PP028;Partido Renovación Nacional (RN);2017;Oct - Dic;Pacto Chile Vamos;Partido Regionalista de los Independientes,;Elección Parlamentaria;2017
PP028;Partido Renovación Nacional (RN);2017;Oct - Dic;Pacto Chile Vamos;Evolución Política,;Elección Parlamentaria;2017
PP028;Partido Renovación Nacional (RN);2017;Oct - Dic;Pacto Chile Vamos;Independientes;Elección Parlamentaria;2017
PP028;Partido Renovación Nacional (RN);2017;Oct - Dic;-;-;-;-
PP028;Partido Renovación Nacional (RN);2017;Oct - Dic;Pacto Chile Vamos;Renovación Nacional,;Elección Presidencial;2017
PP028;Partido Renovación Nacional (RN);2017;Oct - Dic;Pacto Chile Vamos;Unión Demócrata Independiente,;Elección Presidencial;2017
PP028;Partido Renovación Nacional (RN);2017;Oct - Dic;Pacto Chile Vamos;Partido Regionalista de los Independientes,;Elección Presidencial;2017
PP028;Partido Renovación Nacional (RN);2017;Oct - Dic;Pacto Chile Vamos;Evolución Política,;Elección Presidencial;2017
PP028;Partido Renovación Nacional (RN);2017;Oct - Dic;Pacto Chile Vamos;Independientes;Elección Presidencial;2017
PP028;Partido Renovación Nacional (RN);2017;Oct - Dic;-;-;-;-
PP028;Partido Renovación Nacional (RN);2017;Jul - Sep;Pacto Chile Vamos RN-Evopoli;Renovación Nacional,;Elección de Consejeros Regionales;2017
PP028;Partido Renovación Nacional (RN);2017;Jul - Sep;Pacto Chile Vamos RN-Evopoli;Evolución Política,;Elección de Consejeros Regionales;2017
PP028;Partido Renovación Nacional (RN);2017;Jul - Sep;Pacto Chile Vamos RN-Evopoli;Independientes;Elección de Consejeros Regionales;2017
PP028;Partido Renovación Nacional (RN);2017;Jul - Sep;-;-;-;-
PP028;Partido Renovación Nacional (RN);2017;Jul - Sep;Pacto Chile Vamos;Renovación Nacional,;Elección Parlamentaria;2017
PP028;Partido Renovación Nacional (RN);2017;Jul - Sep;Pacto Chile Vamos;Unión Demócrata Independiente,;Elección Parlamentaria;2017
PP028;Partido Renovación Nacional (RN);2017;Jul - Sep;Pacto Chile Vamos;Partido Regionalista de los Independientes,;Elección Parlamentaria;2017
PP028;Partido Renovación Nacional (RN);2017;Jul - Sep;Pacto Chile Vamos;Evolución Política,;Elección Parlamentaria;2017
PP028;Partido Renovación Nacional (RN);2017;Jul - Sep;Pacto Chile Vamos;Independientes;Elección Parlamentaria;2017
PP028;Partido Renovación Nacional (RN);2017;Jul - Sep;-;-;-;-
PP028;Partido Renovación Nacional (RN);2017;Jul - Sep;Pacto Chile Vamos;Renovación Nacional,;Elección Presidencial;2017
PP028;Partido Renovación Nacional (RN);2017;Jul - Sep;Pacto Chile Vamos;Unión Demócrata Independiente,;Elección Presidencial;2017
PP028;Partido Renovación Nacional (RN);2017;Jul - Sep;Pacto Chile Vamos;Partido Regionalista de los Independientes,;Elección Presidencial;2017
PP028;Partido Renovación Nacional (RN);2017;Jul - Sep;Pacto Chile Vamos;Evolución Política,;Elección Presidencial;2017
PP028;Partido Renovación Nacional (RN);2017;Jul - Sep;Pacto Chile Vamos;Independientes;Elección Presidencial;2017
PP028;Partido Renovación Nacional (RN);2017;Jul - Sep;-;-;-;-
PP028;Partido Renovación Nacional (RN);2017;Abr - Jun;Pacto Chile Vamos;Renovación Nacional,;Elección Primaria Presidencial;2017
PP028;Partido Renovación Nacional (RN);2017;Abr - Jun;Pacto Chile Vamos;Unión Demócrata Independiente,;Elección Primaria Presidencial;2017
PP028;Partido Renovación Nacional (RN);2017;Abr - Jun;Pacto Chile Vamos;Partido Regionalista de los Independientes,;Elección Primaria Presidencial;2017
PP028;Partido Renovación Nacional (RN);2017;Abr - Jun;Pacto Chile Vamos;Evolución Política,;Elección Primaria Presidencial;2017
PP028;Partido Renovación Nacional (RN);2017;Abr - Jun;Pacto Chile Vamos;Independientes;Elección Primaria Presidencial;2017
PP028;Partido Renovación Nacional (RN);2018;Ene - Mar;Pacto Chile Vamos;Renovación Nacional,;Coalición de Gobierno;2017
PP028;Partido Renovación Nacional (RN);2018;Ene - Mar;Pacto Chile Vamos;Unión Demócrata Independiente,;Coalición de Gobierno;2017
PP028;Partido Renovación Nacional (RN);2018;Ene - Mar;Pacto Chile Vamos;Partido Regionalista de los Independientes,;Coalición de Gobierno;2017
PP028;Partido Renovación Nacional (RN);2018;Ene - Mar;Pacto Chile Vamos;Evolución Política,;Coalición de Gobierno;2017
PP028;Partido Renovación Nacional (RN);2018;Ene - Mar;Pacto Chile Vamos;Independientes;Coalición de Gobierno;2017
PP028;Partido Renovación Nacional (RN);2018;Ene - Mar;-;-;-;-
PP028;Partido Renovación Nacional (RN);2018;Abr - Jun;Pacto Chile Vamos;Renovación Nacional,;Coalición de Gobierno;2017
PP028;Partido Renovación Nacional (RN);2018;Abr - Jun;Pacto Chile Vamos;Unión Demócrata Independiente,;Coalición de Gobierno;2017
PP028;Partido Renovación Nacional (RN);2018;Abr - Jun;Pacto Chile Vamos;Partido Regionalista de los Independientes,;Coalición de Gobierno;2017
PP028;Partido Renovación Nacional (RN);2018;Abr - Jun;Pacto Chile Vamos;Evolución Política,;Coalición de Gobierno;2017
PP028;Partido Renovación Nacional (RN);2018;Abr - Jun;Pacto Chile Vamos;Independientes;Coalición de Gobierno;2017
PP028;Partido Renovación Nacional (RN);2018;Abr - Jun;-;-;-;-
PP028;Partido Renovación Nacional (RN);2018;Jul - Sep;Pacto Chile Vamos;Renovación Nacional,;Coalición de Gobierno;2017
PP028;Partido Renovación Nacional (RN);2018;Jul - Sep;Pacto Chile Vamos;Unión Demócrata Independiente,;Coalición de Gobierno;2017
PP028;Partido Renovación Nacional (RN);2018;Jul - Sep;Pacto Chile Vamos;Partido Regionalista de los Independientes,;Coalición de Gobierno;2017
PP028;Partido Renovación Nacional (RN);2018;Jul - Sep;Pacto Chile Vamos;Evolución Política,;Coalición de Gobierno;2017
PP028;Partido Renovación Nacional (RN);2018;Jul - Sep;Pacto Chile Vamos;Independientes;Coalición de Gobierno;2017
PP028;Partido Renovación Nacional (RN);2018;Jul - Sep;-;-;-;-
PP028;Partido Renovación Nacional (RN);2018;Oct - Dic;Pacto Chile Vamos;Renovación Nacional,;Coalición de Gobierno;2017
PP028;Partido Renovación Nacional (RN);2018;Oct - Dic;Pacto Chile Vamos;Unión Demócrata Independiente,;Coalición de Gobierno;2017
PP028;Partido Renovación Nacional (RN);2018;Oct - Dic;Pacto Chile Vamos;Partido Regionalista de los Independientes,;Coalición de Gobierno;2017
PP028;Partido Renovación Nacional (RN);2018;Oct - Dic;Pacto Chile Vamos;Evolución Política,;Coalición de Gobierno;2017
PP028;Partido Renovación Nacional (RN);2018;Oct - Dic;Pacto Chile Vamos;Independientes;Coalición de Gobierno;2017
PP028;Partido Renovación Nacional (RN);2018;Oct - Dic;-;-;-;-
PP028;Partido Renovación Nacional (RN);2019;Ene - Mar;Pacto Chile Vamos;Renovación Nacional,;Coalición de Gobierno;2017
PP028;Partido Renovación Nacional (RN);2019;Ene - Mar;Pacto Chile Vamos;Unión Demócrata Independiente,;Coalición de Gobierno;2017
PP028;Partido Renovación Nacional (RN);2019;Ene - Mar;Pacto Chile Vamos;Partido Regionalista de los Independientes,;Coalición de Gobierno;2017
PP028;Partido Renovación Nacional (RN);2019;Ene - Mar;Pacto Chile Vamos;Evolución Política,;Coalición de Gobierno;2017
PP028;Partido Renovación Nacional (RN);2019;Ene - Mar;Pacto Chile Vamos;Independientes;Coalición de Gobierno;2017
PP028;Partido Renovación Nacional (RN);2019;Ene - Mar;-;-;-;-
PP028;Partido Renovación Nacional (RN);2019;Abr - Jun;Pacto Chile Vamos;Renovación Nacional,;Coalición de Gobierno;2017
PP028;Partido Renovación Nacional (RN);2019;Abr - Jun;Pacto Chile Vamos;Unión Demócrata Independiente,;Coalición de Gobierno;2017
PP028;Partido Renovación Nacional (RN);2019;Abr - Jun;Pacto Chile Vamos;Partido Regionalista de los Independientes,;Coalición de Gobierno;2017
PP028;Partido Renovación Nacional (RN);2019;Abr - Jun;Pacto Chile Vamos;Evolución Política,;Coalición de Gobierno;2017
PP028;Partido Renovación Nacional (RN);2019;Abr - Jun;Pacto Chile Vamos;Independientes;Coalición de Gobierno;2017
PP028;Partido Renovación Nacional (RN);2019;Abr - Jun;-;-;-;-
PP029;Partido Revolución Democrática (RD);2016;Oct - Dic;Pacto Cambiemos La Historia;Partido Revolución Democrática;Elección de concejales;2016
PP029;Partido Revolución Democrática (RD);2016;Oct - Dic;Pacto Cambiemos La Historia;Independientes;Elección de concejales;2016
PP029;Partido Revolución Democrática (RD);2016;Oct - Dic;Pacto Cambiemos La Historia;Partido Revolución Democrática;Elección de alcaldes;2016
PP029;Partido Revolución Democrática (RD);2016;Oct - Dic;Pacto Cambiemos La Historia;Independientes;Elección de alcaldes;2016
PP029;Partido Revolución Democrática (RD);2017;Ene - Mar;Aún no se definen pactos electorales para las elecciones 2017;N/A;Elecciones presidenciales, parlamentarias y de Consejeros Regionales;2017
PP029;Partido Revolución Democrática (RD);2017;Mar - Jun;Pacto Frente Amplio;Partido Revolución Democrática, Partido Humanista, Partido Poder Ciudadano, Partido Ecologista Verde, Partido Liberal y Partido Igualdad;Primarias Presidenciales;2017
PP029;Partido Revolución Democrática (RD);2017;Mar - Jun;Pacto Frente Amplio;Partido Revolución Democrática, Partido Humanista, Partido Poder Ciudadano, Partido Ecologista Verde, Partido Liberal y Partido Igualdad;Primarias Parlamentarias;2017
PP029;Partido Revolución Democrática (RD);2017;Jul - Sep;Pacto Frente Amplio;Partido Revolución Democrática, Partido Humanista, Partido Poder Ciudadano, Partido Ecologista Verde, Partido Liberal y Partido Igualdad;Elección Presidencial;2017
PP029;Partido Revolución Democrática (RD);2017;Jul - Sep;Pacto Frente Amplio;Partido Revolución Democrática, Partido Humanista, Partido Poder Ciudadano, Partido Ecologista Verde, Partido Liberal y Partido Igualdad;Elección Parlamentaria;2017
PP029;Partido Revolución Democrática (RD);2017;Jul - Sep;Pacto Frente Amplio;Partido Revolución Democrática, Partido Humanista, Partido Liberal y Partido Igualdad;Elección de Consejeros/as Regionales;2017
PP029;Partido Revolución Democrática (RD);2017;Oct - Dic;Pacto Frente Amplio;Partido Revolución Democrática, Partido Humanista, Partido Poder Ciudadano, Partido Ecologista Verde, Partido Liberal y Partido Igualdad;Elección Presidencial;2017
PP029;Partido Revolución Democrática (RD);2017;Oct - Dic;Pacto Frente Amplio;Partido Revolución Democrática, Partido Humanista, Partido Poder Ciudadano, Partido Ecologista Verde, Partido Liberal y Partido Igualdad;Elección Parlamentaria;2017
PP029;Partido Revolución Democrática (RD);2017;Oct - Dic;Pacto Frente Amplio;Partido Revolución Democrática, Partido Humanista, Partido Liberal y Partido Igualdad;Elección de Consejeros/as Regionales;2017
PP029;Partido Revolución Democrática (RD);2018;Ene - Mar;Pacto Frente Amplio;Partido Revolución Democrática, Partido Humanista, Partido Poder Ciudadano, Partido Ecologista Verde, Partido Liberal y Partido Igualdad;N/A;N/A
PP029;Partido Revolución Democrática (RD);2018;Abr - Jun;Pacto Frente Amplio;Partido Revolución Democrática, Partido Humanista, Partido Poder Ciudadano, Partido Ecologista Verde, Partido Liberal y Partido Igualdad;N/A;N/A
PP029;Partido Revolución Democrática (RD);2018;Jul - Sep;Pacto Frente Amplio;Partido Revolución Democrática, Partido Humanista, Partido Poder Ciudadano, Partido Ecologista Verde, Partido Liberal y Partido Igualdad;N/A;N/A
PP029;Partido Revolución Democrática (RD);2018;Oct - Dic;Pacto Frente Amplio;Partido Revolución Democrática, Partido Humanista, Partido Poder Ciudadano, Partido Ecologista Verde, Partido Liberal y Partido Igualdad;N/A;N/A
PP029;Partido Revolución Democrática (RD);2019;Ene - Mar;Pacto Frente Amplio;Partido Revolución Democrática, Partido Humanista, Partido Comunes, Partido Ecologista Verde, Partido Liberal y Partido Igualdad;N/A;N/A
PP029;Partido Revolución Democrática (RD);2019;Abr - Jun;Pacto Frente Amplio;Partido Revolución Democrática, Partido Humanista, Partido Comunes, Partido Ecologista Verde, Partido Liberal y Partido Igualdad;N/A;N/A
PP030;Partido Ciudadanos;2018;Abril - Junio;No participamos en ningún pacto electoral;N/A;N/A;N/A
PP030;Partido Ciudadanos;2018;Julio - Septiembre;No participamos en ningún pacto electoral;N/A;N/A;N/A
PP030;Partido Ciudadanos;2018;Octubre - Diciembre;No participamos en ningún pacto electoral;N/A;N/A;N/A
PP030;Partido Ciudadanos;2019;Enero - Marzo;No participamos en ningún pacto electoral;N/A;N/A;N/A
PP030;Partido Ciudadanos;2019;Abril - Junio;No participamos en ningún pacto electoral;N/A;N/A;N/A
PP033;Partido Amplitud;2017;jul - sep;Sumemos;Amplitud, Ciudadanos y Todos;Elección Parlamentaria y de Consejeros Regionales;2017
PP033;Partido Amplitud;2016;Oct - Dic;Chile quiere Amplitud;Amplitud + independientes;Elección Alcaldicia y Concejal;2016
PP034;Partido Federación Regionalista Verde Social (FREVS);2018;Oct -Dic;No hay pactos que informar;Sin Pacto;Sin Pacto;2018
PP034;Partido Federación Regionalista Verde Social (FREVS);2018;Jul - Sep;No hay pactos que informar;Sin Pacto;Sin Pacto;2018
PP034;Partido Federación Regionalista Verde Social (FREVS);2018;Abril-Junio;No hay pactos que informar;Sin Pacto;Sin Pacto;2018
PP034;Partido Federación Regionalista Verde Social (FREVS);2018;Ene- Mar;No hay pactos que informar;Sin Pacto;Sin Pacto;2018
PP034;Partido Federación Regionalista Verde Social (FREVS);2017;Oct - Dic;Coalicion Regionalista Verde;Federación Regionalista Verde Social y Democracia Regional Patagónica;Elección Parlamentaria y de Consejeros Regionales;2017
PP034;Partido Federación Regionalista Verde Social (FREVS);2017;jul - sep;Coalicion Regionalista Verde;Federación Regionalista Verde Social y Democracia Regional Patagónica;Elección Parlamentaria y de Consejeros Regionales;2017
PP034;Partido Federación Regionalista Verde Social (FREVS);2019;Ene- Mar;No hay pactos que informar;Sin Pacto;Sin Pacto;2019
PP034;Partido Federación Regionalista Verde Social (FREVS);2019;Abr- Jun;No hay pactos que informar;Sin Pacto;Sin Pacto;2019
PP039;Partido Igualdad ](PI);2016;Oct - Dic;Pueblo Unido;Partido Igualdad, Partido Frente Popular;Municipales;2016
PP039;Partido Igualdad ](PI);2017;Ene - Mar;No existen pactos vigentes para el presente periodo;-;-;-
PP039;Partido Igualdad ](PI);2017;Abr - Jun;No existen pactos vigentes para el presente periodo;-;-;-
PP039;Partido Igualdad ](PI);2017;Jul - Sep;Frente Amplio;Partido Igualdad, Partido Humanista, Partido Ecologista Verde, Partido Revolución Democrática, Partido Poder;Primarias Presidenciales;2017
PP039;Partido Igualdad ](PI);2017;Jul - Sep;Igualdad para los Pueblos;Partido Igualdad + Independientes;Consejeros Regionales;2017
PP039;Partido Igualdad ](PI);2017;Jul - Sep;Frente Amplio;Partido Igualdad, Partido Humanista, Partido Ecologista Verde, Partido Revolución Democrática, Partido Poder;Parlamentario;2017
