Código del organismo;Nombre del organismo;Año Informado;Trimestre Informado;Materia;Nombre del Órgano;Tipo de Acto;Denominación del Acto;Número del Acto;Fecha del Acto;Breve descripción del objeto del Acto;Vínculo al texto íntegro
PP022;Partido Radical de Chile;2017;Ene - Mar;III;Consejo Regional Arica y Parinacota;Acuerdo;Acuerdo Organizacional;3;21-03-2017;Se acuerda organización de Refichatón;https://es.scribd.com/document/349448808/Acta-Marzo-2017-Pr-Arica-y-p-Web
PP022;Partido Radical de Chile;2017;Ene - Mar;I;Consejo Regional Tarapacá;Acuerdo;Acuerdo Administrativo;1;03-01-2017;Se acuerda sesión apliada para refichaje;https://es.scribd.com/document/355203628/Acta-Enero-2017-Pr-Tarapaca-Web
PP022;Partido Radical de Chile;2017;Ene - Mar;II;Consejo Regional Tarapacá;Acuerdo;Acuerdo Organizacional;2;22-02-2017;Se acuerda apoyo en stand de refichaje;https://es.scribd.com/document/355203629/Acta-Febrero-2017-Pr-Tarapaca-Web
PP022;Partido Radical de Chile;2017;Ene - Mar;III;Consejo Regional Tarapacá;Acuerdo;Acuerdo Organizacional;3;30-03-2017;Se acuerdan últimos esfuerzos en proceso de refichaje;https://es.scribd.com/document/355203630/Acta-Marzo-2017-Pr-Tarapaca-Web
PP022;Partido Radical de Chile;2017;Ene - Mar;I;Consejo Regional Antofagasta;Sin Acuerdo;Reunión Informativa;1;11-01-2017;Sin acuerdo por ser reunión de debate e informativa;https://es.scribd.com/document/355204003/Acta-Enero-2017-Pr-Antofagasta-Web
PP022;Partido Radical de Chile;2017;Ene - Mar;II;Consejo Regional Antofagasta;No Aplica;Sin Sesión;S/N;No Aplica;Falta de Quorum por vacaciones;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2017;Ene - Mar;III;Consejo Regional Antofagasta;No Aplica;Sin Sesión;S/N;No Aplica;Sin sesiòn por refichaje del partido;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2017;Ene - Mar;I;Consejo Regional Atacama;No Aplica;Sin Sesión;S/N;No Aplica;Sin Sesión por falta de quorum;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2017;Ene - Mar;II;Consejo Regional Atacama;Acuerdo;Acuerdo Orgánico;1;28-02-2017;Se acuerda agendar sesión para tema orgánico;https://es.scribd.com/document/349447749/Acta-Febrero-2017-Pr-Atacama-Web
PP022;Partido Radical de Chile;2017;Ene - Mar;III;Consejo Regional Atacama;Sin Acuerdo;Reunión Informativa;2;27-03-2017;Sin acuerdo por ser reunión de debate e informativa;https://es.scribd.com/document/349447746/Acta-Marzo-2017-Pr-Atacama-Web
PP022;Partido Radical de Chile;2017;Ene - Mar;I;Consejo Regional Coquimbo;No Aplica;Sin Sesión;S/N;No Aplica;Sin Sesión por falta de quorum;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2017;Ene - Mar;II;Consejo Regional Coquimbo;Acuerdo;Acuerdo Organizacional;1;08-02-2017;Se acuerda gestión de documentos de refichaje;https://es.scribd.com/document/349969470/Acta-Febrero-2017-Pr-Coquimbo-Web
PP022;Partido Radical de Chile;2017;Ene - Mar;III;Consejo Regional Coquimbo;Acuerdo;Acuerdo Orgánico;2;07-03-2017;Se acuerda elegir al presidente en sesión extraord.;https://es.scribd.com/document/349969473/Acta-Marzo-2017-Pr-Coquimbo-Web
PP022;Partido Radical de Chile;2017;Ene - Mar;I;Consejo Regional Valparaíso;No Aplica;No Informa;S/N;No Aplica;No Informa;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2017;Ene - Mar;II;Consejo Regional Valparaíso;No Aplica;No Informa;S/N;No Aplica;No Informa;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2017;Ene - Mar;III;Consejo Regional Valparaíso;No Aplica;No Informa;S/N;No Aplica;No Informa;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2017;Ene - Mar;I;Consejo Regional Metropolitana Stgo.;No Aplica;En proceso Disciplinario;S/N;No Aplica;Con procesos de impugnación abiertos;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2017;Ene - Mar;II;Consejo Regional Metropolitana Stgo.;No Aplica;En proceso Disciplinario;S/N;No Aplica;Con procesos de impugnación abiertos;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2017;Ene - Mar;III;Consejo Regional Metropolitana Stgo.;No Aplica;En proceso Disciplinario;S/N;No Aplica;Con procesos de impugnación abiertos;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2017;Ene - Mar;I;Consejo Regional O'Higgins;Acuerdo;Acuerdo Organizacional;25;11-01-2017;Se acuerdan territoriales partidarios;https://es.scribd.com/document/349969683/Acta-Enero-2017-Pr-o-Higgins-Web
PP022;Partido Radical de Chile;2017;Ene - Mar;II;Consejo Regional O'Higgins;Acuerdo;Acuerdo Organizacional;1;11-02-2017;Se acuerda evaluación de refichaje y nuevas sesiones;https://es.scribd.com/document/349969684/Acta-Febrero-2017-Pr-o-Higgins-Web
PP022;Partido Radical de Chile;2017;Ene - Mar;III;Consejo Regional O'Higgins;No Aplica;Sin Sesión;S/N;No Aplica;Sin sesión por proceso de refichaje;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2017;Ene - Mar;I;Consejo Regional Maule;No Aplica;Sin Sesión;S/N;No Aplica;Sin Sesión por desastre natural en la región;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2017;Ene - Mar;II;Consejo Regional Maule;No Aplica;Sin Sesión;S/N;No Aplica;Sin Sesión por falta de quorum;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2017;Ene - Mar;III;Consejo Regional Maule;No Aplica;Sin Sesión;S/N;No Aplica;Sin sesión por proceso de refichaje;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2017;Ene - Mar;I;Consejo Regional BioBío;No Aplica;Acta Objetada;S/N;No Aplica;En proceso de Enmienda por observación no conforme;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2017;Ene - Mar;II;Consejo Regional BioBío;No Aplica;Acta Objetada;S/N;No Aplica;En proceso de Enmienda por observación no conforme;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2017;Ene - Mar;III;Consejo Regional BioBío;No Aplica;Acta Objetada;S/N;No Aplica;En proceso de Enmienda por observación no conforme;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2017;Ene - Mar;I;Consejo Regional Araucanía;Acuerdo;Acuerdo Organizacional;1;31-01-2017;Acuerdo sobre estructura del refichaje;https://es.scribd.com/document/349970388/Acta-Enero-2017-Pr-Araucania-Web
PP022;Partido Radical de Chile;2017;Ene - Mar;II;Consejo Regional Araucanía;No Aplica;Sin Sesión;2;22-02-2017;Sin Sesión por falta de quorum;https://es.scribd.com/document/349970387/Acta-Febrero-2017-Pr-Araucania-Web
PP022;Partido Radical de Chile;2017;Ene - Mar;III;Consejo Regional Araucanía;No Aplica;Sin Sesión;3;24-03-2017;Sin Sesión por falta de quorum;https://es.scribd.com/document/349970386/Acta-Marzo-2017-Pr-Araucania-Web
PP022;Partido Radical de Chile;2017;Ene - Mar;I;Consejo Regional Los Ríos;Acuerdo;Acuerdo Orgánico;1;29-01-2017;Reemplazo de Consejeros;https://es.scribd.com/document/349970522/Acta-Enero-2017-Pr-Los-Rios-Web
PP022;Partido Radical de Chile;2017;Ene - Mar;II;Consejo Regional Los Ríos;No Aplica;Sin Sesión;S/N;No Aplica;Sin Sesión por falta de quorum;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2017;Ene - Mar;III;Consejo Regional Los Ríos;Sin Acuerdo;Reunión Informativa;S/N;12-03-2017;Reunión informativa sobre el proceso de refichaje;https://es.scribd.com/document/349970520/Acta-Marzo-2017-Pr-Los-Rios-Web
PP022;Partido Radical de Chile;2017;Ene - Mar;I;Consejo Regional Los Lagos;Acuerdo;Acuerdo Organizacional;1;14-01-2017;Se acuerda proceso de refichaje;https://es.scribd.com/document/349970649/Acta-Enero-2017-Pr-Los-Lagos-Web
PP022;Partido Radical de Chile;2017;Ene - Mar;II;Consejo Regional Los Lagos;Acuerdo;Acuerdo Organizacional;2;04-02-2017;Se acuerda proceso de refichaje y ampliado regional;https://es.scribd.com/document/349970650/Acta-Febrero-2017-Pr-Los-Lagos-Web
PP022;Partido Radical de Chile;2017;Ene - Mar;III;Consejo Regional Los Lagos;Acuerdo;Acuerdo Organizacional;3;04-03-2017;Se acuerda proceso final de refichaje;https://es.scribd.com/document/349970651/Acta-Marzo-2017-Pr-Los-Lagos-Web
PP022;Partido Radical de Chile;2017;Ene - Mar;I;Consejo Regional Aysén;Acuerdo;Acuerdo Electoral;2;23-01-2017;Se acuerda conversación de candidaturas y comunal;https://es.scribd.com/document/355205272/Acta-Enero-2017-Pr-Aysen-Web
PP022;Partido Radical de Chile;2017;Ene - Mar;II;Consejo Regional Aysén;Acuerdo;Acuerdo Organizacional;3;24-02-2017;Se acuerda seguir lineamiento político nacional PRSD;https://es.scribd.com/document/355205267/Acta-Febrero-2017-Pr-Aysen-Web
PP022;Partido Radical de Chile;2017;Ene - Mar;III;Consejo Regional Aysén;Acuerdo;Acuerdo Organizacional;4;02-03-2017;Se acuerda trabajos para refichaje;https://es.scribd.com/document/355205269/Acta-Marzo-2017-Pr-Aysen-Web
PP022;Partido Radical de Chile;2017;Ene - Mar;I;Consejo Regional Magallanes;Acuerdo;Acuerdo Organizacional;1;19-01-2017;Se acuerdan gastos de mantención y plebisicto;https://es.scribd.com/document/349970738/Acta-Enero-2017-Pr-Magallanes-Web
PP022;Partido Radical de Chile;2017;Ene - Mar;II;Consejo Regional Magallanes;Acuerdo;Acuerdo Orgánico;2;27-01-2017;Acuerdo sobre estructura del refichaje;https://es.scribd.com/document/349970739/Acta-Febrero-2017-Pr-Magallanes-Web
PP022;Partido Radical de Chile;2017;Ene - Mar;III;Consejo Regional Magallanes;Sin Acuerdo;Reunión Informativa;3;24-02-2017;Reunión informativa sobre el proceso de refichaje;https://es.scribd.com/document/349970736/Acta-Marzo-2017-Pr-Magallanes-Web
PP022;Partido Radical de Chile;2017;Abr - Jun;I;Consejo General;No Aplica;Sin Sesión;No Aplica;No Aplica;Sin Sesión durante el periodo informado;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2017;Abr - Jun;I;Consejo Regional Arica y Parinacota;Acuerdo;Acuerdo Político;4;26-04-2017;Acuerdo estratégico y electoral por parlamentarias.;https://es.scribd.com/document/355206179/Acta-Abril-2017-Pr-Arica-y-Parinacota
PP022;Partido Radical de Chile;2017;Abr - Jun;II;Consejo Regional Arica y Parinacota;Acuerdo;Acuerdo Político - Adm;5;31-05-2017;Acuerdo de Informe de participación;https://es.scribd.com/document/355206181/Acta-Mayo-2017-Pr-Arica-y-Parinacota
PP022;Partido Radical de Chile;2017;Abr - Jun;III;Consejo Regional Arica y Parinacota;Acuerdo;Acuerdo Electoral;6;03-07-2017;Sesión postergada de Junio. Acuerdo para priorización;https://es.scribd.com/document/355206180/Acta-Junio-2017-Pr-Arica-y-Parinacota
PP022;Partido Radical de Chile;2017;Abr - Jun;I;Consejo Regional Tarapacá;Sin Acuerdo;Reunión Informativa;4;27-04-2017;Sin acuerdo por ser reunión de debate e informativa;https://es.scribd.com/document/355206381/Acta-Abril-2017-Pr-Tarapaca-Web
PP022;Partido Radical de Chile;2017;Abr - Jun;II;Consejo Regional Tarapacá;Acuerdo;Acuerdo Electoral;5;25-05-2017;Acuerdo para postulación y apoyo de campañas;https://es.scribd.com/document/355206380/Acta-Mayo-2017-Pr-Tarapaca-Web
PP022;Partido Radical de Chile;2017;Abr - Jun;III;Consejo Regional Tarapacá;Acuerdo;Acuerdo Electoral;6;29-06-2017;Acuerdo para postulación y apoyo de campañas;https://es.scribd.com/document/355206379/Acta-Junio-2017-Pr-Tarapaca-Web
PP022;Partido Radical de Chile;2017;Abr - Jun;I;Consejo Regional Antofagasta;No Aplica;Sesión Suspendida;No Aplica;No Aplica;Sin sesión por proceso de reinscripción;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2017;Abr - Jun;II;Consejo Regional Antofagasta;No Aplica;Sesión Suspendida;No Aplica;No Aplica;Suspendida por desastre natural en la región;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2017;Abr - Jun;III;Consejo Regional Antofagasta;Acuerdo;Acuerdo Político-Admin.;3;16-06-2017;Acuerdo por funcionamiento de consejo y apoyos;https://es.scribd.com/document/355206586/Acta-Junio-2017-Pr-Antofagasta-Web
PP022;Partido Radical de Chile;2017;Abr - Jun;I;Consejo Regional Atacama;Sin Acuerdo;Reunión Informativa;4;20-04-2017;Sin acuerdo por ser reunión de debate e informativa;https://es.scribd.com/document/355206833/Acta-Abril-2017-Pr-Atacama-Web
PP022;Partido Radical de Chile;2017;Abr - Jun;II;Consejo Regional Atacama;No Aplica;Sesión Suspendida;No Aplica;No Aplica;Suspendida por desastre natural en la región;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2017;Abr - Jun;III;Consejo Regional Atacama;Acuerdo;Acuerdo Electoral;5;03-06-2017;Acuerdo de proclamación;https://es.scribd.com/document/355206834/Acta-Junio-2017-Pr-Atacama-Web
PP022;Partido Radical de Chile;2017;Abr - Jun;I;Consejo Regional Coquimbo;No Aplica;Sin Sesión;No Aplica;No Aplica;Sin Sesión por falta de Quorum;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2017;Abr - Jun;II;Consejo Regional Coquimbo;Acuerdo;Acuerdo Administrativo;3;04-05-2017;Se acuerdan próximas sesiones;https://es.scribd.com/document/355207039/Acta-Mayo-2017-Pr-Coquimbo-Web
PP022;Partido Radical de Chile;2017;Abr - Jun;III;Consejo Regional Coquimbo;Acuerdo;Auerdo Político-Admin.;4;06-06-2017;Se acuerda nueva de presidencia y coordinacion regional;https://es.scribd.com/document/355207040/Acta-Junio-2017-Pr-Coquimbo-Web
PP022;Partido Radical de Chile;2017;Abr - Jun;I;Consejo Regional Valparaíso;No Aplica;No Informa;No Aplica;No Aplica;No Informa;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2017;Abr - Jun;II;Consejo Regional Valparaíso;No Aplica;No Informa;No Aplica;No Aplica;No Informa;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2017;Abr - Jun;III;Consejo Regional Valparaíso;No Aplica;No Informa;No Aplica;No Aplica;No Informa;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2017;Abr - Jun;I;Consejo Regional Metropolitana Stgo.;No Aplica;En proceso disciplinario;No Aplica;No Aplica;Con procesos de impugnación abiertos;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2017;Abr - Jun;II;Consejo Regional Metropolitana Stgo.;No Aplica;En proceso disciplinario;No Aplica;No Aplica;Con procesos de impugnación abiertos;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2017;Abr - Jun;III;Consejo Regional Metropolitana Stgo.;No Aplica;En proceso disciplinario;No Aplica;No Aplica;Con procesos de impugnación abiertos;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2017;Abr - Jun;I;Consejo Regional O'Higgins;Sin Acuerdo;Reunión Informativa;28;18-04-2017;Sin acuerdo por ser reunión de debate e informativa;https://es.scribd.com/document/355767255/Acta-Abril-2017-Pr-o-Higgins-Web
PP022;Partido Radical de Chile;2017;Abr - Jun;II;Consejo Regional O'Higgins;Acuerdo;Acuerdo Administrativo;29;13-05-2017;Se acuerda apoyo territorial y actividades futuras;https://es.scribd.com/document/355767256/Acta-Mayo-2017-Pr-o-Higgins-Web
PP022;Partido Radical de Chile;2017;Abr - Jun;III;Consejo Regional O'Higgins;Acuerdo;Acuerdo Político-Electoral;30;24-06-2017;Acuerdo sobre conflicto docente en San Fernando y Electoral;https://es.scribd.com/document/355767257/Acta-Junio-2017-Pr-o-Higgins-Web
PP022;Partido Radical de Chile;2017;Abr - Jun;I;Consejo Regional Maule;Acuerdo;Acuerdo Electoral;S/N;28-04-2017;Acuerdo en torno a pactos electorales;https://es.scribd.com/document/356080863/Acta-Abril-Pr-Maule-2017-Web
PP022;Partido Radical de Chile;2017;Abr - Jun;II;Consejo Regional Maule;No Aplica;Sin Sesión;No Aplica;No Aplica;Sin Sesión por falta de Quorum;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2017;Abr - Jun;III;Consejo Regional Maule;Acuerdo;Acuerdo Electoral;S/N;29-06-2017;Acuerdo de priorización;https://es.scribd.com/document/356080862/Acta-Junio-Pr-Maule-2017-Web
PP022;Partido Radical de Chile;2017;Abr - Jun;I;Consejo Regional BioBío;No Aplica;En proceso de Observación;No Aplica;No Aplica;Con proceso de Obsercaciones Disconforme pendiente;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2017;Abr - Jun;II;Consejo Regional BioBío;No Aplica;No Informa;No Aplica;No Aplica;No Informa;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2017;Abr - Jun;III;Consejo Regional BioBío;No Aplica;No Informa;No Aplica;No Aplica;No Informa;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2017;Abr - Jun;I;Consejo Regional Araucanía;Acuerdo;Acuerdo Electoral;S/N;28-04-2017;Acuerdo de búsqueda de candidatos;https://es.scribd.com/document/355767386/Acta-Abril-2017-Pr-Araucania-Web
PP022;Partido Radical de Chile;2017;Abr - Jun;II;Consejo Regional Araucanía;Sin Acuerdo;Reunión Informativa;S/N;26-05-2017;Sin acuerdo por ser reunión de debate e informativa;https://es.scribd.com/document/355767388/Acta-Mayo-2017-Pr-Araucania-Web
PP022;Partido Radical de Chile;2017;Abr - Jun;III;Consejo Regional Araucanía;Sin Acuerdo;Reunión Suspendida;No Aplica;No Aplica;Sesión suspendida por visita del H.S. Alejandro Guillier;https://es.scribd.com/document/355767387/Acta-Junio-2017-Pr-Araucania-Web
PP022;Partido Radical de Chile;2017;Abr - Jun;I;Consejo Regional Los Ríos;No Aplica;Sin Sesión;No Aplica;No Aplica;Sin Sesión por falta de Quorum;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2017;Abr - Jun;II;Consejo Regional Los Ríos;Acuerdo;Acuerdo Electoral;3;27-05-2017;Se acuerda oficiar a comunales por candidaturas;https://es.scribd.com/document/355767455/Acta-Mayo-2017-Pr-Los-Rios-Web
PP022;Partido Radical de Chile;2017;Abr - Jun;III;Consejo Regional Los Ríos;No Aplica;Sin Sesión;No Aplica;No Aplica;Sin Sesión por falta de Quorum;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2017;Abr - Jun;I;Consejo Regional Los Lagos;Acuerdo;Acuerdo Electoral;S/N;22-04-2017;Se acuerda busqueda de candidaturas y ampliado regional;https://es.scribd.com/document/355767524/Acta-Abril-2017-Pr-Los-Lagos
PP022;Partido Radical de Chile;2017;Abr - Jun;II;Consejo Regional Los Lagos;Acuerdo;Acuerdo Electoral;S/N;06-05-2017;Se acuerda recolección de firmas y candidaturas;https://es.scribd.com/document/355767526/Acta-Mayo-2017-Pr-Los-Lagos
PP022;Partido Radical de Chile;2017;Abr - Jun;III;Consejo Regional Los Lagos;Acuerdo;Acuerdo Electoral;S/N;15-06-2017;Se acuerda recolección de firmas y proximo consejo;https://es.scribd.com/document/355767525/Acta-Junio-2017-Pr-Los-Lagos
PP022;Partido Radical de Chile;2017;Abr - Jun;I;Consejo Regional Aysén;Acuerdo;Acuerdo Electoral;5;01-04-2017;Se acuerda apoyo Senatorial;https://es.scribd.com/document/356081898/Acta-Abril-Pr-Aysen-2017-Web
PP022;Partido Radical de Chile;2017;Abr - Jun;II;Consejo Regional Aysén;Acuerdo;Acuerdo Político;7;06-05-2017;Trabajo de apoyo al Candidato Presidencial;https://es.scribd.com/document/356081900/Acta-Mayo-Pr-Aysen-2017-Web
PP022;Partido Radical de Chile;2017;Abr - Jun;III;Consejo Regional Aysén;Acuerdo;Acuerdo Electoral;8;02-06-2017;Se acuerdan priorizaciones;https://es.scribd.com/document/356081899/Acta-Junio-Pr-Aysen-2017-Web
PP022;Partido Radical de Chile;2017;Abr - Jun;I;Consejo Regional Magallanes;Acuerdo;Acuerdo Administrativo;4;07-05-2017;Se acuerda próxima reunión con autoridades;https://es.scribd.com/document/355767683/Acta-Mayo-2017-Pr-Magallanes-Web
PP022;Partido Radical de Chile;2017;Abr - Jun;II;Consejo Regional Magallanes;Sin Acuerdo;Reunión Informativa;5;30-05-2017;Sesión adelantada. Sin acuerdo por ser informativa;https://es.scribd.com/document/355768027/Acta-Mayo-2-2017-Pr-Magallanes-Web
PP022;Partido Radical de Chile;2017;Abr - Jun;III;Consejo Regional Magallanes;No Aplica;Sesión postergada;No Aplica;No Aplica;Sesión postergada para 06 de Julio;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2017;Jul - Sep;I;Consejo General;Acuerdo;Acuerdo Electoral y admin.;No Aplica;12-08-2017;Se acuerda nómina parlamentaria, CORE y reformas est.;https://es.scribd.com/document/361787181/Acta-Sesion-Extraordinaria-Consejo-General-12-Agosto
PP022;Partido Radical de Chile;2017;Jul - Sep;I;Consejo Regional Arica y Parinacota;Acuerdo;Acuerdo Electoral;1;20-07-2017;Se acuerda la priorización de candidatos;https://es.scribd.com/document/361753713/Acta-Julio-2017-Pr-Arica-y-p
PP022;Partido Radical de Chile;2017;Jul - Sep;II;Consejo Regional Arica y Parinacota;Acuerdo;Acuerdo Electoral y admin.;7;01-09-2017;Se acuerda apoyos políticos y materias procedimentales;https://es.scribd.com/document/361753710/Acta-Agosto-2017-Pr-Arica-y-p
PP022;Partido Radical de Chile;2017;Jul - Sep;III;Consejo Regional Arica y Parinacota;Acuerdo;Acuerdo Administrativo;8;07-10-2017;Se acuerda comenzar la sesión en horario puntual;https://es.scribd.com/document/361753712/Acta-Septiembre-2017-Pr-Arica-y-p
PP022;Partido Radical de Chile;2017;Jul - Sep;I;Consejo Regional Tarapacá;No Aplica;No Informa;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2017;Jul - Sep;II;Consejo Regional Tarapacá;No Aplica;No Informa;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2017;Jul - Sep;III;Consejo Regional Tarapacá;No Aplica;No Informa;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2017;Jul - Sep;I;Consejo Regional Antofagasta;Acuerdo;Acuerdo Electoral;S/N;09-07-2017;Se acuerda llevar priorización parlamentaria y CORE;https://es.scribd.com/document/361752324/Acta-Julio-2017-Pr-Antofagasta-Web
PP022;Partido Radical de Chile;2017;Jul - Sep;II;Consejo Regional Antofagasta;No Aplica;No Informa;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2017;Jul - Sep;III;Consejo Regional Antofagasta;No Aplica;No Informa;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2017;Jul - Sep;I;Consejo Regional Atacama;Acuerdo;Acuerdo Electoral;S/N;12-07-2017;Se acuerda la priorización de candidatos;https://es.scribd.com/document/361752530/Acta-Julio-2017-Pr-Atacama-Web
PP022;Partido Radical de Chile;2017;Jul - Sep;II;Consejo Regional Atacama;No Aplica;Sin Sesión;No Aplica;No Aplica;No se convocó ni se realizó la sesión;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2017;Jul - Sep;III;Consejo Regional Atacama;No Aplica;Sin Sesión;No Aplica;No Aplica;No se convocó ni se realizó la sesión;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2017;Jul - Sep;I;Consejo Regional Coquimbo;Acuerdo;Acuerdo Administrativo;4;04-07-2017;Se acuerda sesión Ampliada;https://es.scribd.com/document/361955847/Acta-Julio-2017-PR-Coquimbo-WEB
PP022;Partido Radical de Chile;2017;Jul - Sep;II;Consejo Regional Coquimbo;Acuerdo;Acuerdo Administrativo;5;09-08-2017;Se acuerda nueva sesión y viaje al Consejo General;https://es.scribd.com/document/361846047/Acta-Agosto-2017-PR-Coquimbo-WEB
PP022;Partido Radical de Chile;2017;Jul - Sep;III;Consejo Regional Coquimbo;No Aplica;No Informa;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2017;Jul - Sep;I;Consejo Regional Valparaíso;No Aplica;No Informa;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2017;Jul - Sep;II;Consejo Regional Valparaíso;No Aplica;No Informa;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2017;Jul - Sep;III;Consejo Regional Valparaíso;No Aplica;No Informa;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2017;Jul - Sep;I;Consejo Regional Metropolitana Stgo.;No Aplica;No Informa;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2017;Jul - Sep;II;Consejo Regional Metropolitana Stgo.;No Aplica;No Informa;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2017;Jul - Sep;III;Consejo Regional Metropolitana Stgo.;No Aplica;No Informa;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2017;Jul - Sep;I;Consejo Regional O'Higgins;Acuerdo;Acuerdo Electoral;32;29-07-2017;Se acuerda priorización parlamentaria;https://es.scribd.com/document/361752638/Acta-Julio-2017-Pr-o-Higgins-Web
PP022;Partido Radical de Chile;2017;Jul - Sep;II;Consejo Regional O'Higgins;Acuerdo;Acuerdo Electoral;33;05-08-2017;Se acuerda priorización parlamentaria y CORE;https://es.scribd.com/document/361752637/Acta-Agosto-2017-Pr-o-Higgins-Web
PP022;Partido Radical de Chile;2017;Jul - Sep;III;Consejo Regional O'Higgins;Acuerdo;Acuerdo Electoral;34;26-09-2017;Se acuerda priorización de actividades de campaña;https://es.scribd.com/document/361752639/Acta-Septiembre-2017-Pr-o-Higgins-Web
PP022;Partido Radical de Chile;2017;Jul - Sep;I;Consejo Regional Maule;No Aplica;No Informa;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;http://www.partidoradical.cl/no-se-cuenta-acta/
